"mode","peel","Year","ssb","recruit_male"
"standard",4,1990,410.56893955,2992312.9467623
"standard",4,1991,375.14894801,4025434.33389284
"standard",4,1992,296.50425646,109996.72080446
"standard",4,1993,268.53397455,117144.05683243
"standard",4,1994,337.21392417,396791.26797574
"standard",4,1995,307.14632599,199175.71298501
"standard",4,1996,318.35808081,361042.96247375
"standard",4,1997,297.66763538,185766.01410292
"standard",4,1998,210.57537469,475907.62569905
"standard",4,1999,176.05443716,287627.57889515
"standard",4,2000,145.82927211,37436.82523341
"standard",4,2001,121.41480374,1311349.88532441
"standard",4,2002,101.12554457,864209.22652399
"standard",4,2003,92.25980091,527359.03820067
"standard",4,2004,84.73139337,1875332.61639844
"standard",4,2005,98.21310349,362254.14774503
"standard",4,2006,122.27057366,423509.19521004
"standard",4,2007,136.6338446,845063.5729074
"standard",4,2008,151.18838934,1263043.33233702
"standard",4,2009,170.7261649,130084.99749923
"standard",4,2010,167.985599,559409.05409238
"standard",4,2011,166.92933639,673132.37687942
"standard",4,2012,153.95342695,462912.86045407
"standard",4,2013,145.84085875,1163749.14695301
"standard",4,2014,126.4282128,3725279.44546414
"standard",4,2015,120.67249528,4157876.59033115
"standard",5,1982,216.86876589,1817688.24538546
"standard",5,1983,231.35326859,1822030.9487757
"standard",5,1984,249.99915066,3204577.53387813
"standard",5,1985,261.31550049,3517868.31499644
"standard",5,1986,283.33828955,139425.19652419
"standard",5,1987,319.33223852,1141199.86998293
"standard",5,1988,377.08323446,424012.48392582
"standard",5,1989,437.27164064,643321.56294735
"standard",5,1990,393.42557007,2747616.03790385
"standard",5,1991,360.24123942,3543092.25253537
"standard",5,1992,284.34479991,85101.86495492
"standard",5,1993,256.98815473,90546.10987314
"standard",5,1994,322.59837953,370508.34392933
"standard",5,1995,294.03123444,175859.94125974
"standard",5,1996,305.63181884,301743.71491397
"standard",5,1997,286.46016307,192798.1120895
"standard",5,1998,201.80831081,405835.23643043
"standard",5,1999,168.76330371,255319.31072026
"standard",5,2000,139.96097211,28299.02490779
"standard",5,2001,116.40046018,1211976.60488751
"standard",5,2002,96.84587379,730595.98564164
"standard",5,2003,88.4811137,510108.58502531
