"mode","peel","Year","recruit_male"
"standard",8,1991,3794528.36904873
"standard",8,1992,87630.58793203
"standard",8,1993,79957.04192759
"standard",8,1994,396012.54408294
"standard",8,1995,188128.24665201
"standard",8,1996,286337.63655659
"standard",8,1997,228058.23177327
"standard",8,1998,370673.60551423
"standard",8,1999,292834.28911112
"standard",8,2000,30075.25900277
"standard",8,2001,1213371.3227147
"standard",8,2002,837863.64944634
"standard",8,2003,420407.82983939
"standard",8,2004,1596266.08936647
"standard",8,2005,533200.37427724
"standard",8,2006,441608.06283455
"standard",8,2007,1546688.93244366
"standard",8,2008,2640273.27427335
"standard",8,2009,1085713.86976498
"standard",8,2010,1882635.69392716
"standard",8,2011,3169275.63308228
"standard",9,1982,1979591.96410772
"standard",9,1983,1997635.92734284
"standard",9,1984,3416350.34497192
"standard",9,1985,3991788.58645685
"standard",9,1986,165656.32374179
"standard",9,1987,1237596.704669
"standard",9,1988,496732.56522842
"standard",9,1989,679183.15117411
"standard",9,1990,2891079.08664037
"standard",9,1991,4051106.71384889
"standard",9,1992,97767.87733156
"standard",9,1993,88902.71054003
"standard",9,1994,414673.55894263
"standard",9,1995,198334.23551722
"standard",9,1996,301855.61338458
"standard",9,1997,244192.70248553
"standard",9,1998,388003.05147887
"standard",9,1999,313813.1186737
"standard",9,2000,31430.40346384
"standard",9,2001,1269518.03203363
"standard",9,2002,877631.62507644
"standard",9,2003,484285.63156456
"standard",9,2004,1406789.64471623
"standard",9,2005,344426.52508259
"standard",9,2006,471197.79371339
"standard",9,2007,1580781.82040767
"standard",9,2008,2671327.6757503
"standard",9,2009,1385193.04460539
"standard",9,2010,2329113.66175816
"standard",10,1982,1807421.28856109
"standard",10,1983,1837391.35978058
"standard",10,1984,3188342.53303638
"standard",10,1985,3673335.83186399
"standard",10,1986,149747.86995603
"standard",10,1987,1147389.45479764
"standard",10,1988,462600.73304223
"standard",10,1989,608682.24082337
"standard",10,1990,2721664.51824301
"standard",10,1991,3716969.32295065
"standard",10,1992,85090.12737101
"standard",10,1993,83753.83094904
"standard",10,1994,357930.01265027
"standard",10,1995,230475.20773872
"standard",10,1996,233005.64237072
"standard",10,1997,248133.01147084
"standard",10,1998,342707.47122192
"standard",10,1999,294553.05341595
"standard",10,2000,26386.98338122
"standard",10,2001,1173195.30491059
"standard",10,2002,797597.88671563
"standard",10,2003,465097.03311621
"standard",10,2004,1077124.37500379
"standard",10,2005,437748.14965633
"standard",10,2006,360946.38554398
"standard",10,2007,1351379.63497478
"standard",10,2008,2676658.50148487
"standard",10,2009,1925734.73498423
"drop_survey",0,1982,2320288.55320504
"drop_survey",0,1983,2307184.60131515
"drop_survey",0,1984,3885105.89198849
"drop_survey",0,1985,4534435.62523569
"drop_survey",0,1986,170904.54673946
"drop_survey",0,1987,1419680.17967214
"drop_survey",0,1988,526634.38768311
"drop_survey",0,1989,853528.20747822
"drop_survey",0,1990,3164479.74328229
"drop_survey",0,1991,4601459.45672782
"drop_survey",0,1992,107470.43983333
"drop_survey",0,1993,112149.93286067
"drop_survey",0,1994,444049.43834549
"drop_survey",0,1995,255920.85304414
"drop_survey",0,1996,354268.32588806
"drop_survey",0,1997,247931.88337368
"drop_survey",0,1998,486519.61959171
"drop_survey",0,1999,341405.80911963
"drop_survey",0,2000,34513.23537947
"drop_survey",0,2001,1432615.46355229
"drop_survey",0,2002,975131.69064064
"drop_survey",0,2003,543922.84020441
"drop_survey",0,2004,2059437.46505326
"drop_survey",0,2005,478557.76901221
"drop_survey",0,2006,450063.34865692
"drop_survey",0,2007,929887.20111465
"drop_survey",0,2008,1424276.45215353
"drop_survey",0,2009,155323.87486186
"drop_survey",0,2010,405463.20163315
"drop_survey",0,2011,120814.59232118
"drop_survey",0,2012,826129.14727945
"drop_survey",0,2013,1232607.92844046
"drop_survey",0,2014,4392201.76314341
"drop_survey",0,2015,7397189.68871444
"drop_survey",0,2016,425559.79439776
"drop_survey",0,2017,1241051.29386583
"drop_survey",0,2018,1756482.15297178
"drop_survey",0,2019,2130586.69631707
"drop_survey",1,1982,2263970.80530091
"drop_survey",1,1983,2270710.37215267
"drop_survey",1,1984,3847624.62391259
"drop_survey",1,1985,4436900.23482484
"drop_survey",1,1986,171743.79352496
"drop_survey",1,1987,1391146.38516538
"drop_survey",1,1988,518136.23263956
"drop_survey",1,1989,839990.66151087
"drop_survey",1,1990,3128457.60244515
"drop_survey",1,1991,4495844.04485648
"drop_survey",1,1992,106673.21576132
"drop_survey",1,1993,109576.14350726
"drop_survey",1,1994,431701.88993917
"drop_survey",1,1995,263825.37648535
"drop_survey",1,1996,339641.85725275
"drop_survey",1,1997,246264.59588043
"drop_survey",1,1998,472968.44470974
"drop_survey",1,1999,338155.05365576
"drop_survey",1,2000,35657.00750631
"drop_survey",1,2001,1408648.07144194
"drop_survey",1,2002,953204.62836792
"drop_survey",1,2003,534257.60585993
"drop_survey",1,2004,2000811.70971834
"drop_survey",1,2005,483849.36765932
"drop_survey",1,2006,450181.75431503
"drop_survey",1,2007,911313.47111358
"drop_survey",1,2008,1395110.05646667
"drop_survey",1,2009,149971.32830057
"drop_survey",1,2010,398255.57249512
"drop_survey",1,2011,128705.95790382
"drop_survey",1,2012,736719.75848938
"drop_survey",1,2013,1112148.32205037
"drop_survey",1,2014,4076719.58347135
"drop_survey",1,2015,6739457.33910647
"drop_survey",1,2016,785145.02233547
"drop_survey",1,2017,1354284.0021422
"drop_survey",1,2018,1970411.81733766
"drop_survey",2,1982,2215102.21364215
"drop_survey",2,1983,2223348.73823402
"drop_survey",2,1984,3792483.27439265
"drop_survey",2,1985,4332015.73213371
"drop_survey",2,1986,172958.3535191
"drop_survey",2,1987,1371184.1347982
"drop_survey",2,1988,499438.49842376
"drop_survey",2,1989,820652.56206194
"drop_survey",2,1990,3111933.52347509
"drop_survey",2,1991,4361495.39657698
"drop_survey",2,1992,112201.52567401
"drop_survey",2,1993,119156.86920209
"drop_survey",2,1994,417104.13751593
"drop_survey",2,1995,249800.57884203
"drop_survey",2,1996,348290.74311133
