"mode","peel","Year","ssb","recruit_male"
"standard",1,1988,435.20085101,504039.52647741
"standard",1,1989,493.51039894,630766.86745419
"standard",1,1990,439.84830769,3709207.69941069
"standard",1,1991,392.73140624,3470978.35934195
"standard",1,1992,307.87638931,167891.81700742
"standard",1,1993,278.37965216,412258.54945619
"standard",1,1994,355.29320838,211682.36227928
"standard",1,1995,324.59406034,160295.97836934
"standard",1,1996,340.05297852,427537.78663293
"standard",1,1997,317.98680459,393285.50135953
"standard",1,1998,224.14865948,559338.53087864
"standard",1,1999,192.75284844,275349.22941003
"standard",1,2000,159.1803463,49912.90941687
"standard",1,2001,133.05203595,1508177.85804248
"standard",1,2002,115.99680527,1036656.60515876
"standard",1,2003,113.37578967,1137843.92420439
"standard",1,2004,108.40618616,1569543.33725414
"standard",1,2005,124.97895127,227896.23488935
"standard",1,2006,156.86917489,319387.15582589
"standard",1,2007,178.59582639,805302.17717993
"standard",1,2008,199.60353649,1253622.29640128
"standard",1,2009,220.00016241,133514.50581487
"standard",1,2010,204.4600754,373229.03432702
"standard",1,2011,186.52810985,182156.13792976
"standard",1,2012,162.05194211,835624.75764203
"standard",1,2013,148.15572182,759280.73153326
"standard",1,2014,123.25619913,4833366.95883655
"standard",1,2015,109.10786057,3626271.68163718
"standard",1,2016,103.76204553,368446.3597309
"standard",1,2017,147.59788079,69162.1734221
"standard",1,2018,122.7779677,106692.13966367
"standard",1,2019,90.97240491,830774.30713551
"standard",1,2020,58.92361167,1401463.01475343
"standard",1,2021,59.91733573,2078422.02181798
"standard",1,2022,67.46963979,4404650.34697228
"standard",1,2023,68.80098082,1800713.06870336
"standard",1,2024,104.12461879,1293056.86755014
"standard",2,1982,204.43997425,2445146.35757048
"standard",2,1983,268.4216595,2291304.91736325
"standard",2,1984,312.74874653,3958096.36770231
"standard",2,1985,327.76803524,4075345.71607215
"standard",2,1986,343.73338407,157962.96479133
"standard",2,1987,375.93628507,1389770.46218038
"standard",2,1988,435.93229249,583286.19877283
"standard",2,1989,496.34821389,696221.73907664
"standard",2,1990,443.68720739,3785136.3690263
"standard",2,1991,397.99307793,4027739.0146473
"standard",2,1992,312.7015056,182872.55112745
"standard",2,1993,283.36320583,413750.03329652
"standard",2,1994,360.98684906,254757.64479838
"standard",2,1995,329.23840232,185722.41124315
"standard",2,1996,343.59283076,452495.03781952
"standard",2,1997,321.24826528,385962.78661602
"standard",2,1998,226.87008322,591931.5600899
"standard",2,1999,194.17439239,314975.85200623
"standard",2,2000,160.24481894,55281.34784271
"standard",2,2001,133.73415472,1546775.96417213
"standard",2,2002,115.5929631,1137923.94374934
"standard",2,2003,111.39961037,1151442.68410601
"standard",2,2004,105.64054405,1779551.711036
"standard",2,2005,121.78194885,281189.07767573
"standard",2,2006,152.79587359,370485.3627337
"standard",2,2007,173.51287466,874154.23700073
"standard",2,2008,194.4460137,1391100.67832524
"standard",2,2009,215.38829755,153437.7678874
"standard",2,2010,201.77472653,409566.41132075
"standard",2,2011,186.62552112,173267.46398589
"standard",2,2012,163.98218746,926350.88580896
"standard",2,2013,150.79148632,1103651.87053146
"standard",2,2014,125.69129352,5331727.15160013
"standard",2,2015,111.53409868,3689479.96086771
"standard",2,2016,107.23574121,1877965.46861222
"standard",2,2017,156.84584926,201575.51803478
"standard",2,2018,129.04236466,222208.28336165
