"mode","peel","Year","ssb","recruit_male"
"standard",9,1983,233.96672203,1994753.86130909
"standard",9,1984,254.89995425,3474759.24987805
"standard",9,1985,268.23905187,3830074.81560134
"standard",9,1986,292.21851677,151977.14312626
"standard",9,1987,330.46587406,1244448.37860928
"standard",9,1988,390.82802554,444826.40548982
"standard",9,1989,452.88346091,732802.62222524
"standard",9,1990,408.73198774,2897145.00911858
"standard",9,1991,373.51206163,3872523.28452194
"standard",9,1992,295.23995914,96983.56035178
"standard",9,1993,267.20570044,107172.6224077
"standard",9,1994,334.82819336,386159.06065811
"standard",9,1995,304.90323281,202349.28532906
"standard",9,1996,315.96842287,328579.56223317
"standard",9,1997,295.60760208,201838.52104196
"standard",9,1998,209.21802896,445984.80104023
"standard",9,1999,174.97979999,277780.08400596
"standard",9,2000,145.01402235,30404.13658094
"standard",9,2001,120.73974728,1302489.40495978
"standard",9,2002,100.52786072,787128.75619948
"standard",9,2003,91.74454724,542255.20985115
"standard",9,2004,84.15230068,1798027.54313557
"standard",9,2005,97.43692593,355351.06899996
"standard",9,2006,121.35649333,408162.67731298
"standard",9,2007,135.50096704,815800.76158136
"standard",9,2008,149.79212661,1227409.78581864
"standard",9,2009,169.3319493,100423.36031033
"standard",9,2010,166.73905205,391891.26631026
"standard",9,2011,165.7547173,531858.04479857
"standard",9,2012,152.63722761,588420.33980331
"standard",9,2013,143.31106454,856424.8381851
"standard",9,2014,121.66204098,2971512.63724123
"standard",9,2015,111.70419699,3229595.07153552
"standard",9,2016,108.83300946,1972201.78702592
"standard",10,1982,215.2126781,1939197.35601946
"standard",10,1983,233.19808096,1936111.95472926
"standard",10,1984,253.72411944,3382767.20263915
"standard",10,1985,266.4127382,3723186.46616256
"standard",10,1986,289.60236174,150830.5338246
"standard",10,1987,326.99914662,1203753.45727381
"standard",10,1988,386.54698777,447114.06753081
"standard",10,1989,448.03485104,694482.85831615
"standard",10,1990,403.78798674,2856162.15489012
"standard",10,1991,369.19525237,3757933.97833312
"standard",10,1992,291.58221417,96462.56276883
"standard",10,1993,263.78572161,106226.77031343
"standard",10,1994,330.89352428,380360.33149634
"standard",10,1995,301.38827021,185090.88269658
"standard",10,1996,312.75909239,327184.87749522
"standard",10,1997,292.86865907,197692.04536525
"standard",10,1998,206.90891941,435365.85288086
"standard",10,1999,173.14989412,270393.89821344
"standard",10,2000,143.45191169,30754.80983358
"standard",10,2001,119.32215162,1267125.79762998
"standard",10,2002,99.40310329,778166.0512487
"standard",10,2003,90.8653795,537098.19202757
"standard",10,2004,83.42731036,1725516.70939054
"standard",10,2005,96.69601687,367560.28924627
"standard",10,2006,120.46174106,366132.52479368
"standard",10,2007,134.5637813,822761.19463399
"standard",10,2008,148.77410407,1180765.71065293
"standard",10,2009,168.10690438,105239.80628249
"standard",10,2010,165.33501569,587028.36631059
"standard",10,2011,164.15514795,522286.36462042
"standard",10,2012,151.13224495,651563.69000131
"standard",10,2013,143.24801704,995980.76152009
"standard",10,2014,124.23721475,3686436.61374152
"standard",10,2015,119.1338193,3701967.41583346
"drop_survey",0,1982,211.69177375,2467104.59278068
"drop_survey",0,1983,276.16812203,2312873.25832049
"drop_survey",0,1984,320.46140058,4024095.12809412
"drop_survey",0,1985,335.11579356,4107029.33049434
"drop_survey",0,1986,350.36282644,157061.45432656
"drop_survey",0,1987,381.93899663,1419034.36389768
"drop_survey",0,1988,441.60276802,577378.84373366
"drop_survey",0,1989,501.73057469,694182.32598505
"drop_survey",0,1990,449.05955457,3915637.70647691
"drop_survey",0,1991,402.99302959,4038625.98524148
"drop_survey",0,1992,317.34677824,180966.3970149
"drop_survey",0,1993,287.93192278,417117.3004852
"drop_survey",0,1994,366.53652318,258902.12058338
"drop_survey",0,1995,334.49634727,191172.15575894
"drop_survey",0,1996,348.73462433,453553.75869989
"drop_survey",0,1997,325.87311012,379862.5691356
"drop_survey",0,1998,231.02316526,617347.08491378
"drop_survey",0,1999,197.63631231,308130.86394058
"drop_survey",0,2000,163.03211729,51056.45734147
"drop_survey",0,2001,135.98549895,1602595.88590207
"drop_survey",0,2002,117.37274529,1145625.41886611
"drop_survey",0,2003,112.90045378,1142718.35759168
"drop_survey",0,2004,107.12899376,1841940.62299371
"drop_survey",0,2005,123.46545022,288461.28789877
"drop_survey",0,2006,155.07156311,363037.78843395
"drop_survey",0,2007,176.30207855,906182.39795795
"drop_survey",0,2008,197.33055561,1393994.86530473
"drop_survey",0,2009,218.34659549,151033.54148193
"drop_survey",0,2010,204.96423893,413175.870081
"drop_survey",0,2011,190.10032272,179959.87728346
"drop_survey",0,2012,167.1143164,657606.0061261
"drop_survey",0,2013,153.41055485,503480.97187216
"drop_survey",0,2014,127.53009034,4705836.72315621
"drop_survey",0,2015,110.51364257,2075994.45926888
"drop_survey",0,2016,100.60922434,263342.43638117
"drop_survey",0,2017,130.23555392,60657.80053527
"drop_survey",0,2018,155.35819832,89627.10826303
"drop_survey",0,2019,158.50045973,72586.95256066
"drop_survey",0,2020,104.34559586,1845693.18372057
"drop_survey",0,2021,87.61859423,2581535.5469794
"drop_survey",0,2022,77.64028205,3800899.89647278
"drop_survey",0,2023,68.93288674,1691690.37619798
"drop_survey",0,2024,94.37360571,1306910.39251307
"drop_survey",0,2025,150.89075403,1921070.00115705
"drop_survey",1,1982,208.73293492,3724002.17214495
"drop_survey",1,1983,287.2204685,1747246.75724582
"drop_survey",1,1984,337.70687473,4080219.29542715
"drop_survey",1,1985,348.45777467,3768323.09836956
"drop_survey",1,1986,354.62656128,148655.25677531
"drop_survey",1,1987,374.29660311,1389384.64204514
"drop_survey",1,1988,436.38242549,510195.93651657
"drop_survey",1,1989,499.61476277,665391.80875178
"drop_survey",1,1990,447.46038289,3971773.22853053
"drop_survey",1,1991,400.0574761,3686795.14987226
"drop_survey",1,1992,314.23549977,182805.42407112
"drop_survey",1,1993,284.74316111,454746.18375826
"drop_survey",1,1994,363.95622786,216102.49595947
"drop_survey",1,1995,332.76804324,170104.09991166
"drop_survey",1,1996,348.23776393,450245.14150283
"drop_survey",1,1997,325.06038469,442422.47392189
"drop_survey",1,1998,229.66178185,583698.02682328
"drop_survey",1,1999,197.36139488,300221.46690259
"drop_survey",1,2000,162.95419279,50495.27198976
"drop_survey",1,2001,136.38849301,1618423.13408323
"drop_survey",1,2002,119.16584944,1101451.88705431
"drop_survey",1,2003,116.58997938,1231636.8106031
"drop_survey",1,2004,111.38716691,1665440.05997237
"drop_survey",1,2005,128.31563513,248420.47643414
"drop_survey",1,2006,161.45708964,325974.88082199
"drop_survey",1,2007,183.95052839,853314.84623824
"drop_survey",1,2008,205.32795369,1332719.57601601
"drop_survey",1,2009,225.65057647,144473.91676447
"drop_survey",1,2010,209.31462535,396193.11422068
"drop_survey",1,2011,190.69873832,198384.3377598
"drop_survey",1,2012,165.61744862,861832.17830516
"drop_survey",1,2013,151.33908837,809609.00913924
"drop_survey",1,2014,125.94580537,5074426.18542676
"drop_survey",1,2015,111.49753192,3694029.73995263
"drop_survey",1,2016,105.95674228,365494.91101033
"drop_survey",1,2017,150.31848803,68262.45012815
"drop_survey",1,2018,126.18436561,100792.46804353
"drop_survey",1,2019,91.99535477,859472.50549064
"drop_survey",1,2020,59.16901722,1236190.92809013
