"mode","peel","Year","recruit_male"
"drop_survey",3,2007,832400.04383522
"drop_survey",3,2008,1313689.82281931
"drop_survey",3,2009,138915.30639119
"drop_survey",3,2010,388793.60696501
"drop_survey",3,2011,160203.85034087
"drop_survey",3,2012,898348.35769291
"drop_survey",3,2013,1084616.12980186
"drop_survey",3,2014,4713433.14854084
"drop_survey",3,2015,4054653.96076875
"drop_survey",3,2016,2206981.40360382
"drop_survey",3,2017,156835.94274414
"drop_survey",3,2018,140687.62899484
"drop_survey",3,2019,70735.63850534
"drop_survey",3,2020,961016.01474059
"drop_survey",3,2021,987308.50407065
"drop_survey",3,2022,1852623.43564423
"drop_survey",4,1982,2232627.10783705
"drop_survey",4,1983,2094966.1521704
"drop_survey",4,1984,3691463.78630409
"drop_survey",4,1985,3643898.82002354
"drop_survey",4,1986,143760.44228818
"drop_survey",4,1987,1290599.72804368
"drop_survey",4,1988,518951.00751119
"drop_survey",4,1989,644914.95413668
"drop_survey",4,1990,3513367.90330723
"drop_survey",4,1991,3656217.75835255
"drop_survey",4,1992,158632.067998
"drop_survey",4,1993,379365.81967044
"drop_survey",4,1994,234952.59047139
"drop_survey",4,1995,170708.62918392
"drop_survey",4,1996,415638.29610719
"drop_survey",4,1997,343925.7087761
"drop_survey",4,1998,553196.98999431
"drop_survey",4,1999,272886.4615144
"drop_survey",4,2000,48928.4918997
"drop_survey",4,2001,1443170.23217977
"drop_survey",4,2002,1037915.60199091
"drop_survey",4,2003,1047783.58028005
"drop_survey",4,2004,1660504.2515247
"drop_survey",4,2005,205131.05047772
"drop_survey",4,2006,376482.06451774
"drop_survey",4,2007,793926.94965363
"drop_survey",4,2008,1290444.6713606
"drop_survey",4,2009,134687.93071574
"drop_survey",4,2010,378909.59543165
"drop_survey",4,2011,156909.60756798
"drop_survey",4,2012,884084.07261441
"drop_survey",4,2013,1101781.58692358
"drop_survey",4,2014,4311117.17554149
"drop_survey",4,2015,4558058.0198243
"drop_survey",4,2016,2448843.12324286
"drop_survey",4,2017,139851.54778889
"drop_survey",4,2018,123764.91886792
"drop_survey",4,2019,57330.27975604
"drop_survey",4,2020,931559.39748607
"drop_survey",4,2021,1800679.50372179
"drop_survey",5,1982,2559733.8586601
"drop_survey",5,1983,2501648.43432566
"drop_survey",5,1984,4152397.30602207
"drop_survey",5,1985,4997689.86157475
"drop_survey",5,1986,194073.56266819
"drop_survey",5,1987,1529245.51182893
"drop_survey",5,1988,582943.78070899
"drop_survey",5,1989,924351.34896186
"drop_survey",5,1990,3346079.32013545
"drop_survey",5,1991,5062527.15562719
"drop_survey",5,1992,128259.8523082
"drop_survey",5,1993,140300.63715029
"drop_survey",5,1994,422945.85320108
"drop_survey",5,1995,385778.66911082
"drop_survey",5,1996,265989.26060016
"drop_survey",5,1997,341539.74321096
"drop_survey",5,1998,485695.94672969
"drop_survey",5,1999,388390.37742475
"drop_survey",5,2000,37372.75698994
"drop_survey",5,2001,1524559.74807301
"drop_survey",5,2002,1091023.80901178
"drop_survey",5,2003,567041.78285674
"drop_survey",5,2004,2182361.19099123
"drop_survey",5,2005,574647.65639984
"drop_survey",5,2006,477611.26697505
"drop_survey",5,2007,998091.79248634
"drop_survey",5,2008,1558932.41317624
"drop_survey",5,2009,168197.11788954
"drop_survey",5,2010,444606.84074763
"drop_survey",5,2011,125877.31692395
"drop_survey",5,2012,901412.71535115
"drop_survey",5,2013,1409911.99317055
"drop_survey",5,2014,4725178.6454804
"drop_survey",5,2015,8671016.01272031
"drop_survey",5,2016,523339.25766167
"drop_survey",5,2017,1545471.29083408
"drop_survey",5,2018,1914667.76412382
"drop_survey",5,2019,1846165.1608427
"drop_survey",5,2020,2505201.76310923
"drop_survey",6,1982,2320288.31881255
"drop_survey",6,1983,2307184.46867006
"drop_survey",6,1984,3885105.67123928
"drop_survey",6,1985,4534435.24900464
"drop_survey",6,1986,170904.54190984
"drop_survey",6,1987,1419680.07591232
"drop_survey",6,1988,526634.39479028
"drop_survey",6,1989,853528.08109219
"drop_survey",6,1990,3164479.67009233
"drop_survey",6,1991,4601459.04780043
"drop_survey",6,1992,107470.46443867
"drop_survey",6,1993,112150.00075477
"drop_survey",6,1994,444049.30630783
"drop_survey",6,1995,255920.90043779
"drop_survey",6,1996,354268.27340131
"drop_survey",6,1997,247931.86247803
"drop_survey",6,1998,486519.64546684
"drop_survey",6,1999,341405.76443117
"drop_survey",6,2000,34513.21591726
"drop_survey",6,2001,1432615.37004183
"drop_survey",6,2002,975131.71464468
"drop_survey",6,2003,543922.74610155
"drop_survey",6,2004,2059437.62378554
"drop_survey",6,2005,478557.45678486
"drop_survey",6,2006,450063.37187427
"drop_survey",6,2007,929887.11048187
"drop_survey",6,2008,1424276.3831489
"drop_survey",6,2009,155323.83632035
"drop_survey",6,2010,405463.20363632
"drop_survey",6,2011,120814.53016494
"drop_survey",6,2012,826129.2077253
"drop_survey",6,2013,1232607.41264001
"drop_survey",6,2014,4392201.16219343
"drop_survey",6,2015,7397187.7800367
"drop_survey",6,2016,425559.72558972
"drop_survey",6,2017,1241051.39866124
"drop_survey",6,2018,1756482.30899985
"drop_survey",6,2019,2130586.65846947
"drop_survey",7,1982,3042054.42870498
"drop_survey",7,1983,2067682.62808793
"drop_survey",7,1984,3932046.93268838
"drop_survey",7,1985,4461251.11711388
"drop_survey",7,1986,168137.98858702
"drop_survey",7,1987,1424870.98630801
"drop_survey",7,1988,505693.99199465
"drop_survey",7,1989,853230.50963052
"drop_survey",7,1990,3145379.4341114
"drop_survey",7,1991,4536354.06501995
"drop_survey",7,1992,108267.98064431
"drop_survey",7,1993,111183.45908843
"drop_survey",7,1994,434884.62609028
"drop_survey",7,1995,264933.624336
"drop_survey",7,1996,343167.15632862
"drop_survey",7,1997,247943.47748257
"drop_survey",7,1998,477014.82798979
"drop_survey",7,1999,341033.55768321
"drop_survey",7,2000,35897.91392414
"drop_survey",7,2001,1417948.75226682
"drop_survey",7,2002,962172.94796001
"drop_survey",7,2003,539137.64695505
"drop_survey",7,2004,2016732.90876146
"drop_survey",7,2005,488231.98500914
"drop_survey",7,2006,452718.8832733
"drop_survey",7,2007,917707.99857936
"drop_survey",7,2008,1406447.66034554
"drop_survey",7,2009,151401.53288334
"drop_survey",7,2010,401527.71892127
"drop_survey",7,2011,129678.52300638
"drop_survey",7,2012,741907.92350584
"drop_survey",7,2013,1121187.72143774
"drop_survey",7,2014,4104150.58153911
"drop_survey",7,2015,6790964.29761472
"drop_survey",7,2016,792256.99216273
"drop_survey",7,2017,1367607.27239483
"drop_survey",7,2018,1998907.03575994
"drop_survey",8,1982,2215101.97824443
"drop_survey",8,1983,2223348.53823969
"drop_survey",8,1984,3792482.94879979
