"mode","peel","Year","recruit_male"
"standard",1,1999,276511.06763065
"standard",1,2000,49999.30769362
"standard",1,2001,1512497.0658354
"standard",1,2002,1039990.80802763
"standard",1,2003,1140164.00535112
"standard",1,2004,1574349.945157
"standard",1,2005,229461.64781305
"standard",1,2006,320218.047037
"standard",1,2007,807542.78191352
"standard",1,2008,1257342.12895482
"standard",1,2009,133847.43520271
"standard",1,2010,374211.13829307
"standard",1,2011,182458.23189381
"standard",1,2012,833788.40438774
"standard",1,2013,753603.94151775
"standard",1,2014,4852674.49889507
"standard",1,2015,3573760.5895139
"standard",1,2016,360502.41843984
"standard",1,2017,68373.81696681
"standard",1,2018,104959.27701322
"standard",1,2019,811557.80861915
"standard",1,2020,1367278.2520454
"standard",1,2021,2030761.28609707
"standard",1,2022,4304375.0259619
"standard",1,2023,1770016.60500378
"standard",1,2024,1274071.4381582
"standard",2,1982,2455875.0105775
"standard",2,1983,2303085.72077877
"standard",2,1984,3974394.89833837
"standard",2,1985,4100319.34838577
"standard",2,1986,158704.08915438
"standard",2,1987,1396069.81931502
"standard",2,1988,586888.67552384
"standard",2,1989,700902.57619864
"standard",2,1990,3796372.84930676
"standard",2,1991,4053309.38857252
"standard",2,1992,183981.45266381
"standard",2,1993,415863.63073928
"standard",2,1994,255975.85583612
"standard",2,1995,187006.60613075
"standard",2,1996,454185.01073666
"standard",2,1997,388206.210767
"standard",2,1998,595018.49206548
"standard",2,1999,317019.63906574
"standard",2,2000,55709.65378242
"standard",2,2001,1553369.03869142
"standard",2,2002,1146044.70994162
"standard",2,2003,1154828.47183264
"standard",2,2004,1788922.33969597
"standard",2,2005,282838.66941692
"standard",2,2006,372738.43886946
"standard",2,2007,877867.35186363
"standard",2,2008,1398124.69782033
"standard",2,2009,154467.29071139
"standard",2,2010,411493.56462521
"standard",2,2011,174004.43323137
"standard",2,2012,928089.54848974
"standard",2,2013,1102398.47684408
"standard",2,2014,5340923.23304577
"standard",2,2015,3719533.37181205
"standard",2,2016,1837754.33341719
"standard",2,2017,185792.30192
"standard",2,2018,195309.45757941
"standard",2,2019,105807.6132503
"standard",2,2020,1471970.12729834
"standard",2,2021,1450823.63886134
"standard",2,2022,4011672.98495222
"standard",2,2023,2318682.02665659
"standard",3,1982,2434989.22987379
"standard",3,1983,2299196.28327719
"standard",3,1984,3970036.1817427
"standard",3,1985,4086340.84723059
"standard",3,1986,157512.99490262
"standard",3,1987,1392445.69073391
"standard",3,1988,583289.33223166
"standard",3,1989,704292.02131156
"standard",3,1990,3790556.67359559
"standard",3,1991,4048153.0063401
"standard",3,1992,180603.91215977
"standard",3,1993,417715.97243489
"standard",3,1994,253759.9731103
"standard",3,1995,189027.37416329
"standard",3,1996,452199.72959772
"standard",3,1997,380213.13501614
"standard",3,1998,598856.0467243
"standard",3,1999,314130.88878211
"standard",3,2000,56096.22921968
"standard",3,2001,1547254.89620203
"standard",3,2002,1158071.64688764
"standard",3,2003,1138968.35114654
"standard",3,2004,1795606.22019778
"standard",3,2005,274654.05166918
"standard",3,2006,373794.52591428
"standard",3,2007,873753.89610381
"standard",3,2008,1401271.00079619
"standard",3,2009,150547.32202557
"standard",3,2010,413005.91806246
"standard",3,2011,171420.18942269
"standard",3,2012,928174.79847953
"standard",3,2013,1138152.98639445
"standard",3,2014,5411090.6848009
"standard",3,2015,3710416.50681516
"standard",3,2016,1881204.2826607
"standard",3,2017,152853.69925198
"standard",3,2018,142733.55832909
"standard",3,2019,71702.05162696
"standard",3,2020,1034868.31494576
"standard",3,2021,1036618.19402874
"standard",3,2022,4589428.14239586
"standard",4,1982,2322332.59599517
"standard",4,1983,2193152.67609701
"standard",4,1984,3823311.37268867
"standard",4,1985,3854371.86384233
"standard",4,1986,148839.24884546
"standard",4,1987,1339159.94591383
"standard",4,1988,552489.48439328
"standard",4,1989,669695.08846136
"standard",4,1990,3639973.58900925
"standard",4,1991,3851904.51053026
"standard",4,1992,167041.17036399
"standard",4,1993,397634.81440023
"standard",4,1994,244146.84534586
"standard",4,1995,181561.47348967
"standard",4,1996,430244.17099041
"standard",4,1997,360443.5610219
"standard",4,1998,575564.05288191
"standard",4,1999,291441.06939455
"standard",4,2000,52068.06070398
"standard",4,2001,1491025.66909861
"standard",4,2002,1101608.32133093
"standard",4,2003,1080710.21120117
"standard",4,2004,1739012.02778133
"standard",4,2005,222711.59200722
"standard",4,2006,389622.01449247
"standard",4,2007,824947.51884352
"standard",4,2008,1350315.17650958
"standard",4,2009,141624.20603204
"standard",4,2010,396369.69796779
"standard",4,2011,163100.35497585
"standard",4,2012,923750.36163457
"standard",4,2013,1143005.32616357
"standard",4,2014,4806913.7734437
"standard",4,2015,4256355.09160257
"standard",4,2016,2316491.37643819
"standard",4,2017,164256.34987405
"standard",4,2018,157991.34042294
"standard",4,2019,74340.84190338
"standard",4,2020,1121917.67855046
"standard",4,2021,1223779.48324484
"standard",5,1982,2837741.44375032
"standard",5,1983,2860773.43781954
"standard",5,1984,4610439.52996238
"standard",5,1985,5798898.42634998
"standard",5,1986,218698.25806235
"standard",5,1987,1754201.51383251
"standard",5,1988,662400.82535509
"standard",5,1989,1065788.95311033
"standard",5,1990,3693660.75313764
"standard",5,1991,5856191.76364922
"standard",5,1992,169650.39427324
"standard",5,1993,167768.37848831
"standard",5,1994,531668.92971308
"standard",5,1995,307453.30528199
"standard",5,1996,438971.82236173
"standard",5,1997,322261.31301296
"standard",5,1998,599424.32650061
"standard",5,1999,432535.32042628
"standard",5,2000,46220.74241606
"standard",5,2001,1747792.24217812
"standard",5,2002,1131082.95468876
"standard",5,2003,942797.73433645
"standard",5,2004,2314594.39267025
"standard",5,2005,695163.57610738
"standard",5,2006,549665.70577796
"standard",5,2007,1097440.67378596
"standard",5,2008,1780773.15011851
"standard",5,2009,213116.88032854
"standard",5,2010,500672.24713694
"standard",5,2011,141344.84568905
"standard",5,2012,1081716.08226174
"standard",5,2013,1623383.48166258
"standard",5,2014,4939074.04431203
"standard",5,2015,9331230.95395451
"standard",5,2016,525463.6339614
"standard",5,2017,137775.34420101
"standard",5,2018,122465.13250155
"standard",5,2019,34964.54027933
"standard",5,2020,128459.87781624
"standard",6,1982,2320287.87773341
"standard",6,1983,2307184.08403119
"standard",6,1984,3885105.11785121
"standard",6,1985,4534434.36468241
"standard",6,1986,170904.58041106
"standard",6,1987,1419679.77549295
"standard",6,1988,526634.30272523
"standard",6,1989,853528.00134924
"standard",6,1990,3164479.23657894
