#========================================================================================================																													
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																					
#	GEAR_INDEX	DESCRIPTION																											
#	1	:	Pot	fishery	retained	catch.																							
#	1	:	Pot	fishery	with	discarded	catch.																						
#	2	:	Trawl	bycatch																									
#	3	:	Trawl	survey																									
#	Fisheries:	1	Pot	"Fishery,"	2	Pot	"Discard,"	3	Trawl	"by-catch,"	4	Tanner bycatch 5 fixed gear																	
#	Surveys:	6	NMFS	Trawl	"Survey,"	7	BSFRF	Survey																					
#========================================================================================================																													
1982	# Start	year																											
2019	# End	year																											
3	# Number of seasons																												
4	# Number of fleets (fishing fleets and surveys)																												
2	# Number of sexes																												
1	# Number of shell condition types																												
2	# Number of maturity types																												
22	# Number of size-classes in the	model																											
3	# Season recruitment occurs																												
3	# Season molting and growth occurs																												
3	# Season to calculate SSB																												
1	# Season for N output																												
# maximum size-class (males then females)																													
22 22																													
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																			
25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)													
1																													
#	Proportion of the total	natural	mortality to be	applied	each	season																							
#0.625 0.00 0.375																													
0.62 0.01 0.37																													
# Fishing fleet	names (delimited with spaces; no spaces in names)																												
Pot_Fishery Trawl_Bycatch																													
# Survey names (delimited with spaces; no spaces in names)																													
NMFS_Trawl_1982 NMFS_Trawl_1989																													
# Are the seasons instantaneous (0) or continuous (1)																													
1 1 1																													
# Input catch data format (0: old; 1:new)																													
0																													
# Number of catch data frames																													
4																													
# Number of rows in each data frame																													
38	38	38	38
##		##																											
##	CATCH	DATA																											
##	Type of	"catch: 1 = retained, 2"	"= discard, 0 ="	total																									
##	Units of catch:	"1 = biomass, 2 = numbers"																											
##	for snow Units	are in 1000 mt	for landed & discards.																										
##		##																											
##	Male	retained	pot	fishery	(tonnes)																								
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																			
2006	2	1	1	4.17454493803792	0.07	2	1	1	0	0.3
2007	2	1	1	5.76824116559381	0.07	2	1	1	0	0.3
2008	2	1	1	5.11393725356141	0.07	2	1	1	0	0.3
2009	2	1	1	4.28472161496942	0.07	2	1	1	0	0.3
2010	2	1	1	4.47376148288991	0.07	2	1	1	0	0.3
2011	2	1	1	3.72522673356899	0.07	2	1	1	0	0.3
2012	2	1	1	5.52856629603888	0.07	2	1	1	0	0.3
2013	2	1	1	10.6144072270591	0.07	2	1	1	0	0.3
2014	2	1	1	11.6187436042016	0.07	2	1	1	0	0.3
2015	2	1	1	10.90202454883	0.07	2	1	1	0	0.3
2016	2	1	1	4.51492759417163	0.07	2	1	1	0	0.3
2017	2	1	1	5.88232917956583	0.07	2	1	1	0	0.3
2018	2	1	1	8.62504001891633	0.07	2	1	1	0	0.3
2019	2	1	1	15.6077666701562	0.07	2	1	1	0	0.3
##	Female	discard																											
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																			
1982	2	1	2	0.015556	0.07	2	1	1	0	0.3																			
1983	2	1	2	0.0108887	0.07	2	1	1	0	0.3																			
1984	2	1	2	0.010782	0.07	2	1	1	0	0.3																			
1985	2	1	2	0.0108527	0.07	2	1	1	0	0.3																			
1986	2	1	2	0.0239127	0.07	2	1	1	0	0.3																			
1987	2	1	2	0.0345783	0.07	2	1	1	0	0.3																			
1988	2	1	2	0.0367518	0.07	2	1	1	0	0.3																			
1989	2	1	2	0.0477847	0.07	2	1	1	0	0.3																			
1990	2	1	2	1.52265965863943	0.07	2	1	1	0	0.3
1991	2	1	2	0.199924588417077	0.07	2	1	1	0	0.3
1992	2	1	2	0.278295622421399	0.07	2	1	1	0	0.3
1993	2	1	2	0.115559031110383	0.07	2	1	1	0	0.3
1994	2	1	2	0.0781261884907289	0.07	2	1	1	0	0.3
1995	2	1	2	0.021310661702215	0.07	2	1	1	0	0.3
1996	2	1	2	0.100573669945353	0.07	2	1	1	0	0.3
1997	2	1	2	0.0990138702161506	0.07	2	1	1	0	0.3
