crab_year,fishery,size,shell,total,target_stock
1993,QO94,106,new,6810,BSSC
1993,QO94,106,old,573,BSSC
1993,QO94,107,new,6413,BSSC
1993,QO94,107,old,564,BSSC
1993,QO94,108,new,7360,BSSC
1993,QO94,108,old,567,BSSC
1993,QO94,109,new,6585,BSSC
1993,QO94,109,old,545,BSSC
1993,QO94,110,new,7877,BSSC
1993,QO94,110,old,608,BSSC
1993,QO94,111,new,6793,BSSC
1993,QO94,111,old,529,BSSC
1993,QO94,112,new,7501,BSSC
1993,QO94,112,old,541,BSSC
1993,QO94,113,new,6750,BSSC
1993,QO94,113,old,493,BSSC
1993,QO94,114,new,6655,BSSC
1993,QO94,114,old,461,BSSC
1993,QO94,115,new,7001,BSSC
1993,QO94,115,old,433,BSSC
1993,QO94,116,new,5794,BSSC
1993,QO94,116,old,389,BSSC
1993,QO94,117,new,5806,BSSC
1993,QO94,117,old,336,BSSC
1993,QO94,118,new,5419,BSSC
1993,QO94,118,old,293,BSSC
1993,QO94,119,new,4451,BSSC
1993,QO94,119,old,260,BSSC
1993,QO94,120,new,4707,BSSC
1993,QO94,120,old,266,BSSC
1993,QO94,121,new,3484,BSSC
1993,QO94,121,old,196,BSSC
1993,QO94,122,new,3351,BSSC
1993,QO94,122,old,178,BSSC
1993,QO94,123,new,2662,BSSC
1993,QO94,123,old,117,BSSC
1993,QO94,124,new,2298,BSSC
1993,QO94,124,old,105,BSSC
1993,QO94,125,new,1905,BSSC
1993,QO94,125,old,105,BSSC
1993,QO94,126,new,1485,BSSC
1993,QO94,126,old,83,BSSC
1993,QO94,127,new,1168,BSSC
1993,QO94,127,old,54,BSSC
1993,QO94,128,new,1001,BSSC
1993,QO94,128,old,42,BSSC
1993,QO94,129,new,620,BSSC
1993,QO94,129,old,34,BSSC
1993,QO94,130,new,624,BSSC
1993,QO94,130,old,16,BSSC
1993,QO94,131,new,317,BSSC
1993,QO94,131,old,11,BSSC
1993,QO94,132,new,299,BSSC
1993,QO94,132,old,7,BSSC
1993,QO94,133,new,179,BSSC
1993,QO94,133,old,8,BSSC
1993,QO94,134,new,142,BSSC
1993,QO94,135,new,112,BSSC
1993,QO94,135,old,5,BSSC
1993,QO94,136,new,56,BSSC
1993,QO94,136,old,2,BSSC
1993,QO94,137,new,51,BSSC
1993,QO94,137,old,1,BSSC
1993,QO94,138,new,34,BSSC
1993,QO94,139,new,24,BSSC
1993,QO94,140,new,10,BSSC
1993,QO94,141,new,10,BSSC
1993,QO94,141,old,1,BSSC
1993,QO94,142,new,7,BSSC
1993,QO94,143,new,6,BSSC
1993,QO94,144,new,6,BSSC
1993,QO94,146,new,1,BSSC
1993,QO94,150,new,15,BSSC
1994,QO95,41,old,1,BSSC
1994,QO95,43,old,1,BSSC
1994,QO95,51,new,1,BSSC
1994,QO95,52,old,1,BSSC
1994,QO95,54,new,1,BSSC
1994,QO95,55,old,1,BSSC
1994,QO95,61,new,2,BSSC
1994,QO95,65,old,1,BSSC
1994,QO95,66,new,1,BSSC
1994,QO95,67,new,1,BSSC
1994,QO95,68,new,5,BSSC
1994,QO95,69,new,1,BSSC
1994,QO95,70,new,8,BSSC
1994,QO95,70,old,1,BSSC
1994,QO95,71,new,13,BSSC
1994,QO95,72,new,19,BSSC
1994,QO95,73,new,16,BSSC
1994,QO95,73,old,1,BSSC
1994,QO95,74,new,31,BSSC
1994,QO95,74,old,2,BSSC
1994,QO95,75,new,42,BSSC
1994,QO95,76,new,43,BSSC
1994,QO95,76,old,1,BSSC
1994,QO95,77,new,58,BSSC
1994,QO95,78,new,68,BSSC
1994,QO95,78,old,1,BSSC
1994,QO95,79,new,102,BSSC
1994,QO95,79,old,2,BSSC
1994,QO95,80,new,141,BSSC
1994,QO95,80,old,5,BSSC
1994,QO95,81,new,128,BSSC
1994,QO95,81,old,5,BSSC
1994,QO95,82,new,148,BSSC
1994,QO95,82,old,2,BSSC
1994,QO95,83,new,157,BSSC
1994,QO95,83,old,3,BSSC
1994,QO95,84,new,190,BSSC
1994,QO95,84,old,6,BSSC
1994,QO95,85,new,223,BSSC
1994,QO95,85,old,6,BSSC
1994,QO95,86,new,239,BSSC
1994,QO95,86,old,11,BSSC
1994,QO95,87,new,231,BSSC
1994,QO95,87,old,8,BSSC
1994,QO95,88,new,274,BSSC
1994,QO95,88,old,13,BSSC
1994,QO95,89,new,326,BSSC
1994,QO95,89,old,28,BSSC
1994,QO95,90,new,501,BSSC
1994,QO95,90,old,25,BSSC
1994,QO95,91,new,445,BSSC
1994,QO95,91,old,52,BSSC
1994,QO95,92,new,653,BSSC
1994,QO95,92,old,62,BSSC
1994,QO95,93,new,748,BSSC
1994,QO95,93,old,62,BSSC
1994,QO95,94,new,1079,BSSC
1994,QO95,94,old,107,BSSC
1994,QO95,95,new,1366,BSSC
1994,QO95,95,old,142,BSSC
1994,QO95,96,new,1495,BSSC
1994,QO95,96,old,177,BSSC
1994,QO95,97,new,1750,BSSC
1994,QO95,97,old,203,BSSC
1994,QO95,98,new,2274,BSSC
1994,QO95,98,old,258,BSSC
1994,QO95,99,new,2149,BSSC
1994,QO95,99,old,231,BSSC
1994,QO95,100,new,2929,BSSC
1994,QO95,100,old,328,BSSC
1994,QO95,101,new,2721,BSSC
1994,QO95,101,old,345,BSSC
1994,QO95,102,new,3444,BSSC
1994,QO95,102,old,374,BSSC
1994,QO95,103,new,3737,BSSC
1994,QO95,103,old,406,BSSC
1994,QO95,104,new,3726,BSSC
1994,QO95,104,old,440,BSSC
1994,QO95,105,new,4017,BSSC
1994,QO95,105,old,433,BSSC
1994,QO95,106,new,3639,BSSC
1994,QO95,106,old,435,BSSC
1994,QO95,107,new,3619,BSSC
1994,QO95,107,old,469,BSSC
1994,QO95,108,new,4046,BSSC
1994,QO95,108,old,445,BSSC
1994,QO95,109,new,3525,BSSC
1994,QO95,109,old,443,BSSC
1994,QO95,110,new,3933,BSSC
1994,QO95,110,old,489,BSSC
1994,QO95,111,new,3321,BSSC
1994,QO95,111,old,414,BSSC
1994,QO95,112,new,3508,BSSC
1994,QO95,112,old,462,BSSC
1994,QO95,113,new,3446,BSSC
1994,QO95,113,old,471,BSSC
1994,QO95,114,new,2917,BSSC
1994,QO95,114,old,394,BSSC
1994,QO95,115,new,3113,BSSC
