crab_year,fishery,group,count,obs_effort,ft_effort,cpue,avg_wt,total_catch_n,total_catch_wt,target_stock
1991,TT91,female,39,358,360864,0.10893854748603352,2.0551712784783603e-4,39312,8.079289329954129,EBT
1991,TT91,sublegal_male,185,358,360864,0.5167597765363129,4.1510023594993646e-4,186480,77.40789199994416,EBT
1991,TT91,legal_male,2039,358,360864,5.695530726256983,6.678485692007127e-4,2055312,1372.637178461055,EBT
1992,QB92,female,0,6,320,0,1.2709921329813478e-4,0,0,PIGKC
1992,QB92,sublegal_male,0,6,320,0,1.5394862405409404e-4,0,0,PIGKC
1992,QB92,legal_male,0,6,320,0,5.388000200824766e-4,0,0,PIGKC
1992,QO93,female,2927,1151,969209,2.5430060816681146,1.1291237380057652e-4,2464704.381407472,278.2956224213992,BSSC
1992,QO93,sublegal_male,2597,1151,969209,2.2562988705473503,1.7639214549833898e-4,2186825.172024327,385.7387839231452,BSSC
1992,QO93,legal_male,271296,1151,969209,235.70460469157254,5.49212393401331e-4,228447024.20851433,125465.93693096997,BSSC
1992,QP92,female,0,71,56630,0,7.068729797710487e-5,0,0,SMBKC_PIBKC
1992,QP92,sublegal_male,0,71,56630,0,1.99015090591588e-4,0,0,SMBKC_PIBKC
1992,QP92,legal_male,37,71,56630,0.5211267605633803,4.0610270430447963e-4,29511.408450704224,11.98466277966506,SMBKC_PIBKC
1992,QT92,female,70,212,166670,0.330188679245283,1.2433022635222768e-4,55032.54716981132,6.842209046362288,WBT
1992,QT92,sublegal_male,230,212,166670,1.0849056603773586,2.1790244377617476e-4,180821.22641509437,39.40138712245407,WBT
1992,QT92,legal_male,5164,212,166670,24.358490566037737,5.46665615949572e-4,4059829.62264151,2219.3692613116395,WBT
1992,TR92,female,0,289,206815,0,2.606128456723377e-4,0,0,BBRKC
1992,TR92,sublegal_male,0,289,206815,0,7.933706634555405e-4,0,0,BBRKC
1992,TR92,legal_male,18,289,206815,0.06228373702422145,8.878003532488891e-4,12881.211072664359,11.43594374058492,BBRKC
1992,TT92,female,91,816,508922,0.11151960784313726,2.2154771778305413e-4,56754.7818627451,12.57389239496625,EBT
1992,TT92,sublegal_male,183,816,508922,0.22426470588235295,3.26934606495069e-4,114133.24264705883,37.3141067728224,EBT
1992,TT92,legal_male,2907,816,508922,3.5625,6.773623810643716e-4,1813034.625,1228.0814505421502,EBT
1993,QO94,female,3991,2479,716524,1.609923356192013,1.0017698326834623e-4,1153548.722872126,115.55903111038312,BSSC
1993,QO94,sublegal_male,16000,2479,716524,6.45421540943929,1.7478633205022398e-4,4624600.242033078,808.3169135035398,BSSC
1993,QO94,legal_male,596995,2479,716524,240.82089552238807,5.181371929528642e-4,172553951.3432836,89406.61998193407,BSSC
1993,QP93,female,5,84,58647,0.05952380952380952,7.166010463299726e-5,3490.892857142857,0.2501577474054399,SMBKC_PIBKC
1993,QP93,sublegal_male,60,84,58647,0.7142857142857143,1.1658836050605298e-4,41890.71428571429,4.883969698998921,SMBKC_PIBKC
1993,QP93,legal_male,136,84,58647,1.619047619047619,3.8039960521756943e-4,94952.28571428571,36.11981200022014,SMBKC_PIBKC
1993,QR93,female,0,55,35942,0,9.770101010344495e-5,0,0,PIRKC
1993,QR93,sublegal_male,7,55,35942,0.12727272727272726,3.1548139708739497e-4,4574.436363636363,1.4431495748873826,PIRKC
1993,QR93,legal_male,714,55,35942,12.981818181818182,5.517455506801941e-4,466592.5090909091,257.44034087161714,PIRKC
1993,QT93,female,42,112,40100,0.375,1.0266741461358087e-4,15037.5,1.5438612472517224,WBT
1993,QT93,sublegal_male,88,112,40100,0.7857142857142857,1.6693178014242757e-4,31507.142857142855,5.2595434443446285,WBT
