crab_year,fishery,sex,total_catch_n,total_catch_wt,retained_n,retained_wt,discard_n,discard_wt,discard_mortality_n,discard_mortality_wt,total_mortality_n,total_mortality_wt,target_stock
1995,QO96,1,104169869.64131996,44529.88228986118,52892320,29799.258503416,51277549.64131996,14730.623786445183,15383264.892395988,4419.187135933555,68275584.89239599,34218.44563934956,BSSC
1995,QO96,2,210291.00071736012,21.310661702215018,0,0,210291.00071736012,21.310661702215018,63087.30021520803,6.393198510664505,63087.30021520803,6.393198510664505,BSSC
1995,QP95,1,4132.765957446808,1.0902267073795824,0,0,4132.765957446808,1.0902267073795824,1239.8297872340424,0.3270680122138747,1239.8297872340424,0.3270680122138747,SMBKC_PIBKC
1995,QP95,2,0,0,0,0,0,0,0,0,0,0,SMBKC_PIBKC
1995,QR95,1,4299447.970588235,1158.0971719691665,0,0,4299447.970588235,1158.0971719691665,1289834.3911764706,347.42915159074994,1289834.3911764706,347.42915159074994,PIRKC
1995,QR95,2,158300.73529411765,15.466141738353354,0,0,158300.73529411765,15.466141738353354,47490.220588235294,4.639842521506006,47490.220588235294,4.639842521506006,PIRKC
1995,QT95,1,1238773.3333333335,365.18374251472557,0,0,1238773.3333333335,365.18374251472557,371632.00000000006,109.55512275441767,371632.00000000006,109.55512275441767,WBT
1995,QT95,2,195345.02564102566,16.207983197136663,0,0,195345.02564102566,16.207983197136663,58603.50769230769,4.862394959140999,58603.50769230769,4.862394959140999,WBT
1995,TT95,1,549386.2094240838,200.2820886848003,0,0,549386.2094240838,200.2820886848003,164815.86282722515,60.084626605440086,164815.86282722515,60.084626605440086,EBT
1995,TT95,2,105752.87958115184,14.400202336717806,0,0,105752.87958115184,14.400202336717806,31725.86387434555,4.320060701015342,31725.86387434555,4.320060701015342,EBT
1996,QO97,1,173376916.5493364,77469.4568025384,100003933,54239.421420376,73372983.5493364,23230.03538216241,22011895.06480092,6969.010614648722,122015828.06480092,61208.43203502472,BSSC
1996,QO97,2,1047876.0069244086,100.57366994535293,0,0,1047876.0069244086,100.57366994535293,314362.80207732256,30.17210098360588,314362.80207732256,30.17210098360588,BSSC
1996,QP96,1,3804696.3541666665,720.3799301123908,0,0,3804696.3541666665,720.3799301123908,1141408.90625,216.11397903371721,1141408.90625,216.11397903371721,SMBKC_PIBKC
1996,QP96,2,9488.020833333334,0.6589296975377053,0,0,9488.020833333334,0.6589296975377053,2846.40625,0.19767890926131157,2846.40625,0.19767890926131157,SMBKC_PIBKC
1996,QT96,1,909266.4411764706,475.1398203878286,0,0,909266.4411764706,475.1398203878286,272779.9323529412,142.54194611634858,272779.9323529412,142.54194611634858,WBT
1996,QT96,2,0,0,0,0,0,0,0,0,0,0,WBT
1996,TR96,1,917.6309523809523,0.18476109053494666,0,0,917.6309523809523,0.18476109053494666,275.28928571428565,0.055428327160483994,275.28928571428565,0.055428327160483994,BBRKC
1996,TR96,2,0,0,0,0,0,0,0,0,0,0,BBRKC
1996,TT96,1,1783298.16,1018.5507245313229,0,0,1783298.16,1018.5507245313229,534989.448,305.56521735939685,534989.448,305.56521735939685,EBT
1996,TT96,2,649.89,0.0600436757889476,0,0,649.89,0.0600436757889476,194.96699999999998,0.01801310273668428,194.96699999999998,0.01801310273668428,EBT
1997,QO98,1,236730571.02259153,117542.42304170353,186631669,110439.909297432,50098902.02259153,7102.513744271535,15029670.60677746,2130.7541232814606,201661339.60677746,112570.66342071345,BSSC
1997,QO98,2,1200049.911711244,99.01387021615062,0,0,1200049.911711244,99.01387021615062,360014.9735133732,29.704161064845184,360014.9735133732,29.704161064845184,BSSC
1997,QP97,1,427541.4812030075,122.53536878033343,0,0,427541.4812030075,122.53536878033343,128262.44436090224,36.760610634100026,128262.44436090224,36.760610634100026,SMBKC_PIBKC
1997,QP97,2,1219.8045112781954,0.08901458680886329,0,0,1219.8045112781954,0.08901458680886329,365.9413533834586,0.026704376042658986,365.9413533834586,0.026704376042658986,SMBKC_PIBKC
1997,TR97,1,16588.327814569537,5.644834968141506,0,0,16588.327814569537,5.644834968141506,4976.498344370861,1.6934504904424517,4976.498344370861,1.6934504904424517,BBRKC
1997,TR97,2,301.60596026490066,0.06417443764523026,0,0,301.60596026490066,0.06417443764523026,90.48178807947019,0.019252331293569076,90.48178807947019,0.019252331293569076,BBRKC
1998,QO99,1,173089493.84679177,87103.25215907926,151166452,88151.462997856,21923041.846791774,-1048.2108387767366,6576912.554037532,-0,157743364.55403754,88151.462997856,BSSC
1998,QO99,2,88321.28415539066,7.60041904324053,0,0,88321.28415539066,7.60041904324053,26496.3852466172,2.280125712972159,26496.3852466172,2.280125712972159,BSSC
1998,QP98,1,1179215.4671052631,531.0283165007237,0,0,1179215.4671052631,531.0283165007237,353764.64013157896,159.3084949502171,353764.64013157896,159.3084949502171,SMBKC_PIBKC
1998,QP98,2,6561.138157894738,0.7562691716387696,0,0,6561.138157894738,0.7562691716387696,1968.341447368421,0.22688075149163087,1968.341447368421,0.22688075149163087,SMBKC_PIBKC
1998,TR98,1,14273.584459459458,5.979187879856795,0,0,14273.584459459458,5.979187879856795,4282.075337837838,1.7937563639570384,4282.075337837838,1.7937563639570384,BBRKC
1998,TR98,2,0,0,0,0,0,0,0,0,0,0,BBRKC
1999,QO00,1,34439088.382653065,19230.60713425868,25081681,15100.687307648,9357407.382653065,4129.91982661068,2807222.2147959196,1238.975947983204,27888903.21479592,16339.663255631205,BSSC
1999,QO00,2,70817.26530612244,8.020505596095491,0,0,70817.26530612244,8.020505596095491,21245.17959183673,2.4061516788286474,21245.17959183673,2.4061516788286474,BSSC
1999,TR99,1,61719.18367346939,27.320555671738997,0,0,61719.18367346939,27.320555671738997,18515.755102040817,8.1961667015217,18515.755102040817,8.1961667015217,BBRKC
1999,TR99,2,342.8843537414966,0.09298623588915449,0,0,342.8843537414966,0.09298623588915449,102.86530612244898,0.027895870766746347,102.86530612244898,0.027895870766746347,BBRKC
2000,QB01,1,41.01110288675056,0.020834289660351946,0,0,41.01110288675056,0.020834289660351946,12.303330866025167,0.006250286898105584,12.303330866025167,0.006250286898105584,PIGKC
2000,QB01,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2000,QO01,1,27290690.274983235,14709.49249658234,18612605,11456.093731328,8678085.274983235,3253.39876525434,2603425.5824949704,976.019629576302,21216030.58249497,12432.1133609043,BSSC
2000,QO01,2,7694.164989939638,0.9188424689129557,0,0,7694.164989939638,0.9188424689129557,2308.2494969818913,0.27565274067388673,2308.2494969818913,0.27565274067388673,BSSC
2000,TR00,1,125982.42325158947,76.0632195115268,0,0,125982.42325158947,76.0632195115268,37794.72697547684,22.81896585345804,37794.72697547684,22.81896585345804,BBRKC
2000,TR00,2,94.51044504995458,0.024913355522341307,0,0,94.51044504995458,0.024913355522341307,28.353133514986375,0.007474006656702392,28.353133514986375,0.007474006656702392,BBRKC
2001,QB02,1,21.059840425531913,0.01396227848255286,0,0,21.059840425531913,0.01396227848255286,6.317952127659574,0.004188683544765858,6.317952127659574,0.004188683544765858,PIGKC
2001,QB02,2,7.019946808510638,8.922297167564541e-4,0,0,7.019946808510638,8.922297167564541e-4,2.1059840425531915,2.676689150269362e-4,2.1059840425531915,2.676689150269362e-4,PIGKC
