"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
30,-23544.1837104888,0.00478732866321699,20260851,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/030",412,NA,NA,81.45305286,81.2317233,0.22132956,59.63750214,59.63750214,FALSE,138.08684221,1034805.66943262,2025,20260851,134,49.6,TRUE,"",TRUE,FALSE,"minor"
31,-23527.5793765702,0.0103498582974895,20260852,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/031",412,NA,NA,82.8913415,82.668383,0.2229585,61.56485685,61.56485685,FALSE,140.72958225,1109290.10582597,2025,20260852,134,48.1,TRUE,"",FALSE,FALSE,NA
32,-23544.4966571963,0.00403081944033666,20260853,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/032",412,NA,NA,81.47420552,81.2523323,0.22187322,59.56254765,59.56254765,FALSE,138.09733895,1037981.8097428,2025,20260853,134,49.7,TRUE,"",TRUE,FALSE,"D"
33,-23534.8364654498,0.00742135192068707,20260854,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/033",412,NA,NA,81.64956741,81.43001381,0.2195536,62.8693537,62.8693537,FALSE,139.25357007,1094641.44567684,2025,20260854,134,50.5,TRUE,"",TRUE,FALSE,"minor"
34,-23545.3075591051,0.0214407664447578,20260855,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/034",412,NA,NA,81.64442091,81.42400194,0.22041897,60.45865871,60.45865871,FALSE,138.59006806,1049224.3907473,2025,20260855,134,50.2,TRUE,"",FALSE,FALSE,NA
35,-23544.8107362578,0.00155259895597332,20260856,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/035",412,NA,NA,80.67096699,80.4454311,0.22553589,57.41753177,57.41753177,FALSE,136.27292609,998314.11770282,2025,20260856,134,49.4,TRUE,"",TRUE,FALSE,"minor"
36,-23544.7187334527,0.00360960919642234,20260857,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/036",412,NA,NA,80.42559697,80.20076963,0.22482734,57.97530063,57.97530063,FALSE,136.07473131,999659.84992622,2025,20260857,134,48.1,TRUE,"",TRUE,FALSE,"minor"
37,-23531.7937272398,0.000502123035606578,20260858,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/037",412,NA,NA,83.13325144,82.90853711,0.22471433,59.37920882,59.37920882,FALSE,140.26007768,1055795.33715883,2025,20260858,134,60.9,TRUE,"",TRUE,TRUE,"minor"
38,-23545.3678182818,0.0141773601660803,20260859,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/038",412,NA,NA,80.38853308,80.1626821,0.22585098,57.32690152,57.32690152,FALSE,135.83299885,993017.24814499,2025,20260859,134,50.9,TRUE,"",FALSE,FALSE,NA
39,-23544.9233497146,0.00461882226973299,20260860,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/039",412,NA,NA,80.18753721,79.96025075,0.22728646,56.34372739,56.34372739,FALSE,135.25914997,977076.63153211,2025,20260860,134,48.9,TRUE,"",TRUE,FALSE,"A"
40,-23542.5423015305,0.00965496949744131,20260861,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/040",412,NA,NA,80.09720124,79.88517905,0.21202219,66.07004252,66.07004252,FALSE,138.4992597,1096925.25115457,2025,20260861,134,47.7,TRUE,"",TRUE,FALSE,"minor"
41,-23544.4966571962,0.025466766183109,20260862,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/041",412,NA,NA,81.47420156,81.2523284,0.22187316,59.56256874,59.56256874,FALSE,138.09734647,1037981.81278596,2025,20260862,134,52.5,TRUE,"",FALSE,FALSE,NA
42,-23544.1449124755,0.00228278287250803,20260863,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/042",412,NA,NA,81.25764044,81.03417945,0.22346099,58.4378231,58.4378231,FALSE,137.46480531,1020378.34344474,2025,20260863,134,47.2,TRUE,"",TRUE,FALSE,"minor"
