"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
29,-14005.2176439887,0.00476012337036354,20260850,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/029",234,NA,NA,78.05125694,77.71575674,0.3355002,20.1222141,20.1222141,FALSE,117.01225499,369347.21001572,2025,20260850,NA,NA,TRUE,"",TRUE,FALSE,"E"
30,-14005.0344487363,0.00137768867338818,20260851,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/030",234,NA,NA,75.25547829,74.92779109,0.3276872,19.98021014,19.98021014,FALSE,114.80356185,378956.05771852,2025,20260851,NA,NA,TRUE,"",TRUE,FALSE,"F"
31,-14005.3015538168,0.0109868844645391,20260852,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/031",234,NA,NA,78.1889634,77.85302541,0.33593799,20.0367588,20.0367588,FALSE,117.11498599,369696.57269696,2025,20260852,NA,NA,TRUE,"",FALSE,FALSE,NA
32,-14005.0344487366,0.00855365440121169,20260853,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/032",234,NA,NA,75.2554419,74.9277548,0.3276871,19.9802239,19.9802239,FALSE,114.80353223,378956.03773177,2025,20260853,NA,NA,TRUE,"",TRUE,FALSE,"F"
33,-14010.3631618209,0.0148384219157868,20260854,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/033",234,NA,NA,73.99841264,73.67497766,0.32343498,20.50083854,20.50083854,FALSE,113.52169293,372497.14080099,2025,20260854,NA,NA,TRUE,"",FALSE,FALSE,NA
34,-14010.6635839256,0.00268219281081568,20260855,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/034",234,NA,NA,76.99559178,76.66370183,0.33188995,20.54474455,20.54474455,FALSE,115.90186648,363549.78951457,2025,20260855,NA,NA,TRUE,"",TRUE,FALSE,"A"
35,-14005.3015538185,0.00237201179930685,20260856,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/035",234,NA,NA,78.18895191,77.85301396,0.33593795,20.03676225,20.03676225,FALSE,117.1149754,369696.55592077,2025,20260856,NA,NA,TRUE,"",TRUE,FALSE,"D"
36,-14010.6635839271,0.0155972613996195,20260857,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/036",234,NA,NA,76.99558102,76.66369106,0.33188996,20.54474654,20.54474654,FALSE,115.901848,363549.81955478,2025,20260857,NA,NA,TRUE,"",FALSE,FALSE,NA
37,-14005.0344487351,0.00665736944252511,20260858,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/037",234,NA,NA,75.25547179,74.92778464,0.32768715,19.98020726,19.98020726,FALSE,114.80354866,378956.0277538,2025,20260858,NA,NA,TRUE,"",TRUE,FALSE,"F"
38,-14005.3015538186,0.00194264506974332,20260859,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/038",234,NA,NA,78.18895256,77.85301461,0.33593795,20.03676185,20.03676185,FALSE,117.11497551,369696.5679557,2025,20260859,NA,NA,TRUE,"",TRUE,FALSE,"D"
