"mode","peel","Year","ssb","recruit_male"
"standard",3,2015,91.00344074,1556750.28544327
"standard",3,2016,85.69014688,697873.42075043
"standard",3,2017,117.66600537,189772.85341228
"standard",3,2018,102.61780913,156372.82054619
"standard",3,2019,66.01222864,190240.35375041
"standard",3,2020,46.4465735,349617.31605887
"standard",3,2021,52.06201765,404894.94155509
"standard",3,2022,60.97763488,1487043.0640996
"standard",4,1982,202.58486223,850126.26148411
"standard",4,1983,251.3061644,1201858.61249892
"standard",4,1984,285.96086,2527408.62475796
"standard",4,1985,296.79083275,1642113.36117751
"standard",4,1986,307.58282402,281738.18152181
"standard",4,1987,331.50627715,654659.77975002
"standard",4,1988,377.13001041,352157.68097793
"standard",4,1989,426.00467763,319023.37546919
"standard",4,1990,374.44053839,2408162.80858539
"standard",4,1991,334.75194529,1738124.74724861
"standard",4,1992,260.02073376,206249.84339802
"standard",4,1993,232.21780021,171139.73470061
"standard",4,1994,292.70510203,141694.5877983
"standard",4,1995,266.49344836,141677.402092
"standard",4,1996,281.3244819,195060.53787115
"standard",4,1997,265.53245926,212692.54474374
"standard",4,1998,184.47407646,309394.50670347
"standard",4,1999,160.62190116,142581.46678857
"standard",4,2000,133.44619449,90917.9241647
"standard",4,2001,110.34318503,785039.09236561
"standard",4,2002,93.96208087,648415.91780827
"standard",4,2003,90.85103445,546026.87789887
"standard",4,2004,86.87431035,893314.15590417
"standard",4,2005,101.25905823,206054.2984533
"standard",4,2006,124.92305704,152698.40081864
"standard",4,2007,139.98376987,582790.29324358
"standard",4,2008,156.98564561,636308.92058366
"standard",4,2009,176.27288175,155894.48546143
"standard",4,2010,166.63854395,158609.16098689
"standard",4,2011,155.06492951,163844.96641503
"standard",4,2012,135.24865132,443193.72719509
"standard",4,2013,124.21482051,604778.91561957
"standard",4,2014,103.26328765,2682950.74796634
"standard",4,2015,91.02373504,2040861.20986541
"standard",4,2016,86.13464063,1026627.05041539
"standard",4,2017,119.26030749,220452.39931499
"standard",4,2018,98.544829,182970.29951272
"standard",4,2019,65.31949156,256873.80097112
"standard",4,2020,51.2008629,432217.86563296
"standard",4,2021,61.51935827,381425.91737983
"standard",5,1982,214.04494874,759553.69615588
"standard",5,1983,222.61811659,1200120.00508879
"standard",5,1984,234.99133067,2391814.12961265
"standard",5,1985,242.85503014,1884458.91861383
"standard",5,1986,260.66516025,287212.25612605
"standard",5,1987,290.92114196,623101.38789725
"standard",5,1988,338.92788916,347952.69459357
"standard",5,1989,391.67570191,347150.29390713
"standard",5,1990,349.45508755,2110801.67646819
"standard",5,1991,320.74405923,1897517.08435479
"standard",5,1992,252.50601986,132331.42573614
"standard",5,1993,226.86321152,101323.60041414
"standard",5,1994,281.69802237,165800.77557109
"standard",5,1995,255.72215193,197392.85800245
"standard",5,1996,265.18010715,137714.24983824
"standard",5,1997,249.51025098,151847.13913923
"standard",5,1998,175.32860041,252735.99841514
"standard",5,1999,148.02116344,142393.67867869
"standard",5,2000,123.08229038,76685.17473497
"standard",5,2001,102.49973384,734258.26072367
"standard",5,2002,84.75642937,486391.17580271
"standard",5,2003,77.38520304,321493.9092063
"standard",5,2004,70.83512646,998075.93367367
"standard",5,2005,82.48562218,285149.61850783
"standard",5,2006,101.41220801,181895.67494241
"standard",5,2007,112.25647244,597052.98657107
