"mode","peel","Year","ssb","recruit_male"
"standard",4,1982,202.58484035,850126.14978718
"standard",4,1983,251.30615001,1201858.63489243
"standard",4,1984,285.96085068,2527408.6469603
"standard",4,1985,296.79082832,1642113.32158545
"standard",4,1986,307.58282388,281738.19106849
"standard",4,1987,331.5062799,654659.77723264
"standard",4,1988,377.1300143,352157.67956544
"standard",4,1989,426.00468167,319023.3720235
"standard",4,1990,374.44054224,2408162.84034023
"standard",4,1991,334.75194783,1738124.74487122
"standard",4,1992,260.02073569,206249.8447409
"standard",4,1993,232.2178021,171139.74350505
"standard",4,1994,292.70510468,141694.5846574
"standard",4,1995,266.49345128,141677.39479892
"standard",4,1996,281.32448578,195060.54512765
"standard",4,1997,265.53246311,212692.54376115
"standard",4,1998,184.47407944,309394.51103199
"standard",4,1999,160.62190415,142581.46501851
"standard",4,2000,133.44619699,90917.9214702
"standard",4,2001,110.34318695,785039.10080614
"standard",4,2002,93.96208259,648415.91770776
"standard",4,2003,90.8510362,546026.90226257
"standard",4,2004,86.87431206,893314.13642071
"standard",4,2005,101.25905991,206054.30473616
"standard",4,2006,124.92305898,152698.38880713
"standard",4,2007,139.98377224,582790.29797282
"standard",4,2008,156.98564845,636308.91674375
"standard",4,2009,176.27288485,155894.48373421
"standard",4,2010,166.63854647,158609.16969553
"standard",4,2011,155.06493115,163844.96760006
"standard",4,2012,135.24865234,443193.70642417
"standard",4,2013,124.21482135,604778.9397922
"standard",4,2014,103.26328841,2682950.79901265
"standard",4,2015,91.02373584,2040861.10683444
"standard",4,2016,86.1346415,1026627.18574154
"standard",4,2017,119.26030877,220452.40632435
"standard",4,2018,98.54483203,182970.2787165
"standard",4,2019,65.31949056,256873.80310967
"standard",4,2020,51.20086302,432217.87547739
"standard",4,2021,61.51935947,381425.99336461
"standard",5,1982,214.04498373,759555.09632071
"standard",5,1983,222.61812945,1200119.67554492
"standard",5,1984,234.99133294,2391814.11919402
"standard",5,1985,242.85502282,1884458.94847563
"standard",5,1986,260.66514998,287212.27141359
"standard",5,1987,290.92112909,623101.36324518
"standard",5,1988,338.92787859,347952.71226626
"standard",5,1989,391.67569619,347150.30792196
"standard",5,1990,349.45508352,2110801.65555208
"standard",5,1991,320.74405607,1897517.0698363
"standard",5,1992,252.50601802,132331.41686013
"standard",5,1993,226.86320971,101323.60654186
"standard",5,1994,281.69802007,165800.78298438
"standard",5,1995,255.72214982,197392.86257849
"standard",5,1996,265.18010384,137714.2559516
"standard",5,1997,249.51024745,151847.1266444
"standard",5,1998,175.32859804,252736.00180134
"standard",5,1999,148.02116042,142393.68490552
"standard",5,2000,123.08228814,76685.17804864
"standard",5,2001,102.49973242,734258.27342285
"standard",5,2002,84.75642807,486391.15953042
"standard",5,2003,77.38520152,321493.88959931
"standard",5,2004,70.83512484,998075.96329929
"standard",5,2005,82.48562087,285149.5918331
"standard",5,2006,101.41220691,181895.69219201
"standard",5,2007,112.25647131,597052.97531192
"standard",5,2008,123.61719998,634064.06156883
"standard",5,2009,140.68701674,153951.89761646
"standard",5,2010,139.64154001,146046.40609667
"standard",5,2011,140.25233311,131402.82549097
"standard",5,2012,129.17341877,411785.81488909
"standard",5,2013,121.26817565,748225.373265
"standard",5,2014,101.43362197,2523396.52265863
"standard",5,2015,88.31914577,4060149.58574303
"standard",5,2016,83.03939751,383215.80398062
"standard",5,2017,118.79253859,188421.83834487
"standard",5,2018,113.8463965,165458.34515134
"standard",5,2019,70.0513729,217315.95671527
"standard",5,2020,64.03503752,214374.17123719
"standard",6,1982,213.36881597,782567.86918354
"standard",6,1983,220.79346849,1200905.25418545
"standard",6,1984,233.05309569,2407514.62089468
"standard",6,1985,241.33833704,1875258.41091739
"standard",6,1986,259.77780228,291589.62752733
"standard",6,1987,290.67555755,617624.51243518
"standard",6,1988,339.40292747,346427.30343789
"standard",6,1989,392.86525192,353748.0114154
"standard",6,1990,351.09201581,2118038.70398056
"standard",6,1991,322.27858969,1878901.5860079
"standard",6,1992,253.82241223,131384.05869443
"standard",6,1993,227.87315212,100509.56289642
"standard",6,1994,282.68915189,167118.30875698
"standard",6,1995,256.61144388,199577.8235639
"standard",6,1996,265.77838513,137033.88657335
"standard",6,1997,249.87258733,148921.32238923
"standard",6,1998,175.67510509,253562.0567643
"standard",6,1999,148.21114962,144275.2946384
"standard",6,2000,123.32898241,76967.57637084
"standard",6,2001,102.8166982,736776.51600897
"standard",6,2002,84.98124072,478693.76440505
"standard",6,2003,77.51241511,321075.11795526
"standard",6,2004,70.96082734,997721.62274159
"standard",6,2005,82.74654551,291448.69417787
"standard",6,2006,101.68402593,183441.90034534
"standard",6,2007,112.46410836,599212.64838285
"standard",6,2008,123.69708304,626352.96557016
"standard",6,2009,140.7037021,153232.05570575
"standard",6,2010,139.85982102,148134.13739825
"standard",6,2011,140.85656671,134459.02101027
"standard",6,2012,129.90801054,356420.0973536
"standard",6,2013,121.7588154,608782.3362799
"standard",6,2014,101.67101396,2376065.24360553
"standard",6,2015,87.92708837,3063995.83476218
"standard",6,2016,81.16429741,418387.56260776
"standard",6,2017,110.03324043,294569.51854262
"standard",6,2018,119.73375031,290419.50783027
"standard",6,2019,74.72760078,386694.92490887
"standard",7,1982,213.20082775,771608.38802562
"standard",7,1983,217.59384862,1211848.07061952
"standard",7,1984,228.00152391,2416274.96719672
