"mode","peel","Year","recruit_male"
"drop_survey",1,1987,653112.96859404
"drop_survey",1,1988,337738.34850659
"drop_survey",1,1989,319611.00840081
"drop_survey",1,1990,2568419.97165189
"drop_survey",1,1991,1627642.916345
"drop_survey",1,1992,215203.42180687
"drop_survey",1,1993,176184.9630857
"drop_survey",1,1994,137661.38179935
"drop_survey",1,1995,135847.67678851
"drop_survey",1,1996,208794.62310331
"drop_survey",1,1997,219951.11155479
"drop_survey",1,1998,313577.71465634
"drop_survey",1,1999,146056.3241702
"drop_survey",1,2000,92441.2466292
"drop_survey",1,2001,800086.72377476
"drop_survey",1,2002,632694.19134738
"drop_survey",1,2003,594953.92233802
"drop_survey",1,2004,882789.27823027
"drop_survey",1,2005,204451.74376574
"drop_survey",1,2006,151677.36283761
"drop_survey",1,2007,586614.22751502
"drop_survey",1,2008,621300.06335562
"drop_survey",1,2009,154261.66661675
"drop_survey",1,2010,157524.01707866
"drop_survey",1,2011,158800.28807403
"drop_survey",1,2012,307452.78398298
"drop_survey",1,2013,359966.39093262
"drop_survey",1,2014,2860923.3300943
"drop_survey",1,2015,753898.88426532
"drop_survey",1,2016,305690.50944046
"drop_survey",1,2017,154498.43315804
"drop_survey",1,2018,157611.76701885
"drop_survey",1,2019,418138.26908525
"drop_survey",1,2020,589575.92498324
"drop_survey",1,2021,843893.47757924
"drop_survey",1,2022,1893098.62245126
"drop_survey",1,2023,638331.44935664
"drop_survey",1,2024,452742.41031998
"drop_survey",2,1982,851143.97232196
"drop_survey",2,1983,1202698.7111701
"drop_survey",2,1984,2538798.54712752
"drop_survey",2,1985,1651970.88169263
"drop_survey",2,1986,283092.70033205
"drop_survey",2,1987,654197.905019
"drop_survey",2,1988,345106.82189789
"drop_survey",2,1989,320326.10614965
"drop_survey",2,1990,2499810.67661357
"drop_survey",2,1991,1680360.09707467
"drop_survey",2,1992,212059.5246107
"drop_survey",2,1993,174121.67635247
"drop_survey",2,1994,139055.79472046
"drop_survey",2,1995,138075.07402811
"drop_survey",2,1996,204255.10336313
"drop_survey",2,1997,216514.83841349
"drop_survey",2,1998,306819.8444352
"drop_survey",2,1999,146197.49509356
"drop_survey",2,2000,91810.41416521
"drop_survey",2,2001,788053.87959608
"drop_survey",2,2002,635432.11061155
"drop_survey",2,2003,568298.3839764
"drop_survey",2,2004,892111.4162247
"drop_survey",2,2005,207721.20142181
"drop_survey",2,2006,153542.40555776
"drop_survey",2,2007,582444.9061193
"drop_survey",2,2008,633657.89362754
"drop_survey",2,2009,155394.6327112
"drop_survey",2,2010,158494.87593092
"drop_survey",2,2011,163498.3368952
"drop_survey",2,2012,409641.98494691
"drop_survey",2,2013,547493.58820354
"drop_survey",2,2014,2744568.80105762
"drop_survey",2,2015,1463479.00485718
"drop_survey",2,2016,615086.77852082
"drop_survey",2,2017,185761.41482648
"drop_survey",2,2018,158404.17128575
"drop_survey",2,2019,208294.46192711
"drop_survey",2,2020,390424.53862479
"drop_survey",2,2021,454402.01307892
"drop_survey",2,2022,1567467.00352474
"drop_survey",2,2023,518641.83325582
"drop_survey",3,1982,848562.15591325
"drop_survey",3,1983,1201803.09230975
"drop_survey",3,1984,2529738.11570512
"drop_survey",3,1985,1642433.35045658
"drop_survey",3,1986,281631.24454312
"drop_survey",3,1987,655001.90062644
"drop_survey",3,1988,352154.33006872
"drop_survey",3,1989,319502.12521009
"drop_survey",3,1990,2419001.05198844
"drop_survey",3,1991,1733500.15561886
"drop_survey",3,1992,206723.66387448
"drop_survey",3,1993,171549.84680035
"drop_survey",3,1994,141249.18226062
"drop_survey",3,1995,141204.46764398
"drop_survey",3,1996,196125.5239765
"drop_survey",3,1997,213829.54504144
"drop_survey",3,1998,310149.5628774
"drop_survey",3,1999,142948.325438
"drop_survey",3,2000,90988.99324647
"drop_survey",3,2001,789166.12499694
"drop_survey",3,2002,647274.19170164
"drop_survey",3,2003,548813.34919937
"drop_survey",3,2004,891593.25160108
"drop_survey",3,2005,206102.31688086
"drop_survey",3,2006,152526.61139958
"drop_survey",3,2007,582991.4579245
"drop_survey",3,2008,635405.15753666
"drop_survey",3,2009,155707.7703919
"drop_survey",3,2010,158502.19268283
"drop_survey",3,2011,163670.52198979
"drop_survey",3,2012,434074.82781489
"drop_survey",3,2013,582714.73671805
"drop_survey",3,2014,2654854.34383617
"drop_survey",3,2015,1902204.90428292
"drop_survey",3,2016,1031772.32547951
"drop_survey",3,2017,224351.82362696
"drop_survey",3,2018,184295.32044775
"drop_survey",3,2019,262098.70320853
"drop_survey",3,2020,434649.96619869
"drop_survey",3,2021,384487.77305143
"drop_survey",3,2022,417693.97838706
"drop_survey",4,1982,859041.32990722
"drop_survey",4,1983,1199777.81719514
"drop_survey",4,1984,2527377.80156291
"drop_survey",4,1985,1641037.6195605
"drop_survey",4,1986,282944.35759192
"drop_survey",4,1987,653151.31002618
"drop_survey",4,1988,352755.34320195
"drop_survey",4,1989,317334.95771317
"drop_survey",4,1990,2414056.56063465
"drop_survey",4,1991,1731238.65214282
"drop_survey",4,1992,206888.06619416
"drop_survey",4,1993,170783.95681981
"drop_survey",4,1994,141543.57965279
"drop_survey",4,1995,141042.80415304
"drop_survey",4,1996,194175.92678849
"drop_survey",4,1997,218767.67860535
"drop_survey",4,1998,302469.56632015
"drop_survey",4,1999,144905.78941241
"drop_survey",4,2000,92734.21538681
"drop_survey",4,2001,769425.62495665
"drop_survey",4,2002,648083.20473749
"drop_survey",4,2003,546516.01098847
"drop_survey",4,2004,902901.26671318
"drop_survey",4,2005,204267.37294935
"drop_survey",4,2006,153596.06339867
"drop_survey",4,2007,580379.76309023
"drop_survey",4,2008,635662.49173234
