"year","sex","maturity","biomass","cv"
2000,"male","mature",88.2639296137244,0.136138643626889
2001,"male","mature",117.136114969842,0.116307987897813
2002,"male","mature",84.3372586243607,0.226758298481348
2003,"male","mature",61.2435197385217,0.118666633242819
2004,"male","mature",71.7701246941394,0.137811185143317
2005,"male","mature",125.122913280965,0.112658847783127
2006,"male","mature",138.687884724827,0.260356089768818
2007,"male","mature",148.912252443534,0.14742330595097
2008,"male","mature",126.24989092834,0.101776163036285
2009,"male","mature",133.420112805404,0.128305998570058
2010,"male","mature",157.481190762131,0.121562793976423
2011,"male","mature",167.681161504047,0.114164472193153
2012,"male","mature",124.009627747215,0.118587539658112
2013,"male","mature",93.1168035943211,0.11812299701488
2014,"male","mature",164.041221542642,0.163949853665845
2015,"male","mature",76.9622777584471,0.117512078798175
2016,"male","mature",62.8200164647323,0.107936516495982
2017,"male","mature",82.8410457921809,0.130962611119783
2018,"male","mature",232.99410370336,0.170348243614934
2019,"male","mature",202.888150748876,0.171822356978459
2021,"male","mature",58.0567034520894,0.133759741514329
2022,"male","mature",35.2549576219097,0.14917282446069
2023,"male","mature",24.4324777016602,0.126914933230507
2024,"male","mature",57.6422480141842,0.121994952982002
2025,"male","mature",117.727160205051,0.146587023248981
2026,"male","mature",114.576339061422,0.15713746832842
1982,"male","immature",148.159058831625,NA
1983,"male","immature",108.355696558615,NA
1984,"male","immature",76.6186466189822,NA
1985,"male","immature",31.4040408839287,NA
1986,"male","immature",58.2375304447243,NA
1987,"male","immature",193.904981867295,NA
1988,"male","immature",230.975699564386,NA
1989,"male","immature",250.516461050694,NA
1990,"male","immature",295.364859377406,NA
1991,"male","immature",254.145068440604,NA
1992,"male","immature",127.370994906249,NA
1993,"male","immature",163.377605413026,NA
1994,"male","immature",210.697803739665,NA
1995,"male","immature",229.030751094697,NA
1996,"male","immature",221.418750313442,NA
1997,"male","immature",166.888249057621,NA
1998,"male","immature",68.9657624296775,NA
1999,"male","immature",22.5726152722248,NA
2000,"male","immature",45.0240322386742,NA
2001,"male","immature",110.350304488514,NA
2002,"male","immature",56.3281328824529,NA
2003,"male","immature",66.2729788485815,NA
2004,"male","immature",63.4324902376562,NA
2005,"male","immature",112.065848171719,NA
2006,"male","immature",78.9825017682862,NA
2007,"male","immature",94.6449065957925,NA
2008,"male","immature",69.6132880968272,NA
2009,"male","immature",71.0317427370576,NA
2010,"male","immature",97.0341775475912,NA
2011,"male","immature",96.6684263079545,NA
2012,"male","immature",69.4463327372212,NA
2013,"male","immature",67.9502423659438,NA
2014,"male","immature",84.4885329478599,NA
2015,"male","immature",56.5576151447749,NA
2016,"male","immature",72.2051755359949,NA
2017,"male","immature",138.249507807217,NA
2018,"male","immature",278.054565608056,NA
2019,"male","immature",140.924312202744,NA
2021,"male","immature",16.4686933349961,NA
2022,"male","immature",23.5917021328014,NA
2023,"male","immature",27.034930371419,NA
2024,"male","immature",110.170731946958,NA
2025,"male","immature",144.7588472652,NA
2026,"male","immature",102.623019867089,NA
1982,"female","immature",3.65369054823112,0.284410115102717
1983,"female","immature",3.622276912971,0.380928436236645
1984,"female","immature",14.1186312219336,0.346356117551216
1985,"female","immature",5.36384037807029,0.259475641596222
1986,"female","immature",26.0434015669112,0.285121387674545
1987,"female","immature",107.988566497375,0.191366689509245
1988,"female","immature",36.8025509667986,0.200520436233832
1989,"female","immature",23.2651100096978,0.251214347139982
1990,"female","immature",38.2125735452468,0.430771788511243
1991,"female","immature",68.9248826532821,0.186735204949538
1992,"female","immature",49.3743894712308,0.168917848158934
1993,"female","immature",74.9208059594845,0.225216681525539
1994,"female","immature",68.240326399636,0.205969936851126
1995,"female","immature",31.018753975033,0.197063705331793
1996,"female","immature",9.27393296775183,0.354533858564545
1997,"female","immature",5.45224699194318,0.483534107200433
1998,"female","immature",13.3237664541537,0.477849656390643
1999,"female","immature",6.15972995890185,0.187352526229027
2000,"female","immature",12.4798787585741,0.211727958902416
2001,"female","immature",17.0328109147584,0.328283913157131
2002,"female","immature",4.38774615684027,0.277517874737181
2003,"female","immature",14.8376522592859,0.239773329463226
2004,"female","immature",30.4724787579793,0.270933095499898
2005,"female","immature",55.1253110120253,0.234940533418873
2006,"female","immature",28.0903206365604,0.229673713005494
2007,"female","immature",27.8754669577031,0.264201101964762
2008,"female","immature",8.99374518469683,0.195633419406782
2009,"female","immature",29.6599773959504,0.332847839407091
2010,"female","immature",90.4793006625974,0.200047016537037
2011,"female","immature",41.2320565460466,0.163808666769765
2012,"female","immature",41.4253385995374,0.165655406884828
2013,"female","immature",31.3638713099175,0.177647593630708
2014,"female","immature",54.5226608838379,0.44089193426907
2015,"female","immature",35.701444577002,0.246470780684668
2016,"female","immature",55.3059375677315,0.27496000883649
2017,"female","immature",68.1276737847059,0.191989774498156
2018,"female","immature",85.4163961413589,0.260572438898665
2019,"female","immature",5.25088128586275,0.433193875448579
2021,"female","immature",0.306686748004274,0.238100231665246
2022,"female","immature",26.9545868141614,0.341295284310298
2023,"female","immature",23.0198993800027,0.203864354128709
2024,"female","immature",129.002187072947,0.193219887241303
2025,"female","immature",105.344875916269,0.178976559047926
2026,"female","immature",16.5129019127571,0.194344314436555
