"year","fleet","sex","type","m27.5","m32.5","m37.5","m42.5","m47.5","m52.5","m57.5","m62.5","m67.5","m72.5","m77.5","m82.5","m87.5","m92.5","m97.5","m102.5","m107.5","m112.5","m117.5","m122.5","m127.5","m132.5"
2012,1,2,2,0,0,0,0.00186683260734287,0.00808960796515246,0.030491599253267,0.0584940883634101,0.0920970752955818,0.146857498444306,0.338518979464841,0.242688238954574,0.0653391412570006,0.0136901057871811,0.000622277535780958,0.00124455507156192,0,0,0,0,0,0,0
2013,1,2,2,0,0,0,0,0.000340715502555366,0.00988074957410562,0.0442930153321976,0.0984667802385008,0.182964224872232,0.379897785349233,0.232708688245315,0.0405451448040886,0.00749574105621806,0.0020442930153322,0.000340715502555366,0,0,0,0,0,0,0
2014,1,2,2,0,0,0,0,0.000173400381480839,0.0109242240332929,0.0352002774406104,0.0788971735737819,0.228021501647304,0.394832668631871,0.215363273799202,0.028090861799896,0.0057222125888677,0.00208080457777007,0.000520201144442518,0.000173400381480839,0,0,0,0,0,0
2015,1,2,2,0,0,0,0,0.000433651344319167,0.0186470078057242,0.0503035559410234,0.116652211621856,0.256287944492628,0.365134431916739,0.163486556808326,0.0212489158716392,0.00520381613183001,0.000433651344319167,0.000433651344319167,0.000433651344319167,0.000433651344319167,0,0,0,0,0
2016,1,2,2,0,0,0,0,0,0.00639386189258312,0.0230179028132992,0.0690537084398977,0.219948849104859,0.398976982097187,0.223785166240409,0.040920716112532,0.00895140664961637,0.0051150895140665,0.00255754475703325,0,0.00127877237851662,0,0,0,0,0
2017,1,2,2,0,0,0,0.00190839694656489,0.00190839694656489,0.0114503816793893,0.0477099236641221,0.16030534351145,0.387404580152672,0.282442748091603,0.0687022900763359,0.0152671755725191,0.0190839694656489,0.00381679389312977,0,0,0,0,0,0,0,0
2018,1,2,2,0,0,0,0.00390625,0.04296875,0.12890625,0.25,0.255859375,0.23046875,0.064453125,0.01171875,0.009765625,0.001953125,0,0,0,0,0,0,0,0,0
2019,1,2,2,0,0,0,0,0.00184331797235023,0.0175115207373272,0.133640552995392,0.371428571428571,0.382488479262673,0.0700460829493088,0.0147465437788018,0.00460829493087558,0.00184331797235023,0.00184331797235023,0,0,0,0,0,0,0,0
2020,1,2,2,0,0,0,0.0555555555555556,0,0.277777777777778,0.111111111111111,0.166666666666667,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,2,2,0,0.00123456790123457,0,0,0,0.0135802469135802,0.0740740740740741,0.171604938271605,0.325925925925926,0.298765432098765,0.0938271604938272,0.0148148148148148,0.00246913580246914,0.00246913580246914,0,0.00123456790123457,0,0,0,0,0,0
1991,2,2,2,0.054,0.051,0.037,0.052,0.081,0.133,0.142,0.152,0.134,0.087,0.029,0.011,0.005,0.004,0.003,0.004,0.003,0.005,0.003,0.001,0.003,0.005
1992,2,2,2,0.028,0.161,0.177,0.174,0.142,0.087,0.1,0.055,0.035,0.017,0.007,0.001,0.002,0.002,0.003,0.002,0.001,0.003,0.001,0.001,0,0.001
1993,2,2,2,0,0.002,0.01,0.112,0.327,0.26,0.199,0.067,0.019,0.003,0,0.001,0.001,0,0,0,0,0,0,0,0,0
1994,2,2,2,0,0,0,0.009,0.009,0.161,0.136,0.243,0.159,0.102,0.048,0.039,0.023,0.011,0.02,0.005,0.005,0,0.011,0.005,0.009,0.007
1995,2,2,2,0.02,0.014,0.003,0.017,0.043,0.128,0.134,0.21,0.207,0.105,0.026,0.037,0.011,0.017,0.017,0.009,0.003,0,0,0,0,0
1996,2,2,2,0.001,0.002,0.004,0.014,0.07,0.125,0.183,0.187,0.206,0.1,0.033,0.027,0.011,0.011,0.007,0.009,0.002,0.002,0.002,0.001,0.001,0.001
1997,2,2,2,0.008,0.067,0.059,0.168,0.158,0.144,0.197,0.098,0.047,0.019,0.009,0.009,0.008,0.004,0.003,0.002,0.001,0.001,0,0,0,0
1998,2,2,2,0.02,0.028,0.046,0.17,0.223,0.148,0.121,0.08,0.048,0.026,0.019,0.013,0.011,0.011,0.01,0.01,0.004,0.005,0.005,0.002,0.001,0.001
1999,2,2,2,0.003,0.006,0.027,0.072,0.072,0.134,0.237,0.211,0.112,0.044,0.014,0.007,0.007,0.004,0.006,0.006,0.008,0.011,0.008,0.005,0.004,0.001
2000,2,2,2,0.006,0.014,0.016,0.029,0.05,0.133,0.218,0.186,0.127,0.099,0.033,0.025,0.018,0.007,0.006,0.003,0.006,0.008,0.005,0.004,0.001,0.006
2001,2,2,2,0.01,0.027,0.06,0.078,0.055,0.144,0.163,0.131,0.126,0.09,0.038,0.023,0.012,0.009,0.011,0.004,0.005,0.006,0.003,0.004,0,0.001
2002,2,2,2,0.004,0.007,0.015,0.033,0.08,0.19,0.247,0.174,0.104,0.041,0.027,0.025,0.012,0.013,0.006,0.007,0.002,0.005,0.005,0.002,0.002,0.001
2003,2,2,2,0.023,0.324,0.16,0.058,0.046,0.069,0.083,0.079,0.06,0.035,0.018,0.01,0.004,0.005,0.004,0.003,0.005,0.005,0.006,0.003,0.002,0.001
2004,2,2,2,0.016,0.031,0.04,0.104,0.238,0.308,0.134,0.05,0.038,0.017,0.008,0.006,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0
2005,2,2,2,0.005,0.006,0.01,0.026,0.125,0.257,0.242,0.129,0.091,0.045,0.022,0.012,0.006,0.006,0.003,0.005,0.004,0.002,0.002,0.002,0.002,0.001
2006,2,2,2,0,0.001,0.001,0.009,0.027,0.12,0.254,0.281,0.178,0.076,0.026,0.009,0.004,0.004,0.001,0.003,0.002,0,0.001,0,0.001,0.001
2007,2,2,2,0,0.002,0.002,0.009,0.038,0.122,0.242,0.229,0.174,0.079,0.033,0.017,0.015,0.011,0.01,0.007,0.006,0.003,0.001,0.001,0,0
2008,2,2,2,0.005,0.007,0.006,0.012,0.047,0.12,0.173,0.203,0.191,0.117,0.042,0.021,0.017,0.012,0.01,0.005,0.004,0.002,0.003,0,0.002,0
2009,2,2,2,0.001,0.002,0.003,0.007,0.039,0.184,0.279,0.217,0.16,0.062,0.018,0.006,0.005,0.004,0.004,0.002,0.003,0.002,0.001,0.001,0,0.001
2010,2,2,2,0.002,0.025,0.011,0.041,0.146,0.173,0.214,0.141,0.095,0.048,0.028,0.016,0.008,0.006,0.008,0.005,0.007,0.006,0.004,0.009,0.003,0.003
2011,2,2,2,0.001,0.003,0.006,0.041,0.114,0.124,0.121,0.174,0.194,0.099,0.041,0.013,0.006,0.004,0.005,0.005,0.013,0.013,0.008,0.004,0.004,0.005
2012,2,2,2,0.002,0.001,0.004,0.011,0.036,0.099,0.153,0.209,0.209,0.142,0.066,0.028,0.011,0.006,0.006,0.004,0.001,0.002,0.002,0.003,0.003,0.001
2013,2,2,2,0.004,0.029,0.023,0.022,0.066,0.141,0.127,0.098,0.112,0.13,0.13,0.06,0.025,0.009,0.008,0.005,0.005,0.004,0.002,0.001,0.001,0.001
2014,2,2,2,0.002,0.023,0.023,0.102,0.164,0.141,0.169,0.116,0.115,0.08,0.025,0.009,0.009,0.005,0.002,0.003,0.002,0.001,0.003,0.003,0.001,0.002
2015,2,2,2,0.008,0.015,0.023,0.076,0.124,0.137,0.213,0.221,0.089,0.053,0.017,0.008,0.003,0.004,0.004,0.001,0.002,0.002,0.001,0,0,0.001
2016,2,2,2,0.002,0.006,0.032,0.064,0.115,0.194,0.16,0.115,0.087,0.07,0.046,0.038,0.02,0.012,0.014,0.006,0.011,0.004,0.004,0.002,0,0
2017,2,2,2,0.003,0.007,0.045,0.169,0.159,0.202,0.129,0.099,0.053,0.041,0.027,0.01,0.013,0.008,0.008,0.01,0.003,0.001,0.005,0,0.003,0.004
2018,2,2,2,0.004,0.006,0.008,0.053,0.134,0.293,0.24,0.138,0.069,0.02,0.007,0.008,0.004,0.005,0.003,0.001,0.002,0.001,0,0.001,0,0.001
2019,2,2,2,0.002,0.004,0.009,0.027,0.127,0.298,0.226,0.155,0.076,0.026,0.017,0.014,0.008,0.006,0.002,0.001,0.001,0.001,0,0,0.001,0
2020,2,2,2,0.008,0.012,0.015,0.048,0.181,0.296,0.207,0.096,0.055,0.017,0.012,0.015,0.012,0.008,0.007,0.007,0,0.002,0.002,0,0,0.001
2021,2,2,2,0,0.019,0.041,0.056,0.071,0.152,0.1,0.16,0.104,0.067,0.048,0.03,0.045,0.022,0.033,0.019,0.022,0,0.004,0.004,0.004,0
2022,2,2,2,0.01,0.055,0.039,0.074,0.141,0.119,0.161,0.116,0.077,0.042,0.064,0.029,0.035,0.016,0.003,0.006,0.006,0.006,0,0,0,0
2023,2,2,2,0.083,0.092,0.076,0.071,0.138,0.112,0.101,0.136,0.082,0.032,0.032,0.014,0.008,0.011,0.004,0.004,0.004,0.001,0,0,0,0.001
2024,2,2,2,0.005,0.054,0.082,0.039,0.114,0.135,0.166,0.163,0.058,0.067,0.049,0.023,0.017,0.009,0.009,0.003,0.003,0.001,0.001,0.001,0.001,0.001
2025,2,2,2,0,0,0,0.012,0.098,0.229,0.282,0.17,0.096,0.074,0.019,0.009,0.005,0.001,0.001,0.001,0.001,0,0,0,0,0
1991,2,1,2,0.015,0.018,0.012,0.021,0.023,0.021,0.021,0.022,0.02,0.022,0.035,0.044,0.066,0.092,0.09,0.077,0.072,0.079,0.09,0.069,0.051,0.041
1992,2,1,2,0.011,0.055,0.075,0.097,0.12,0.068,0.067,0.052,0.042,0.029,0.036,0.027,0.028,0.026,0.035,0.033,0.039,0.056,0.043,0.033,0.019,0.009
1993,2,1,2,0,0.001,0.002,0.023,0.047,0.073,0.12,0.104,0.064,0.053,0.044,0.031,0.028,0.036,0.049,0.069,0.076,0.07,0.058,0.03,0.013,0.01
1994,2,1,2,0,0,0,0.002,0.002,0.018,0.024,0.039,0.056,0.073,0.071,0.057,0.054,0.065,0.068,0.082,0.101,0.106,0.075,0.051,0.031,0.025
1995,2,1,2,0.001,0.003,0.001,0.005,0.015,0.03,0.053,0.073,0.095,0.094,0.112,0.1,0.098,0.079,0.065,0.05,0.037,0.035,0.026,0.015,0.009,0.006
1996,2,1,2,0,0.001,0.001,0.002,0.002,0.008,0.028,0.059,0.088,0.093,0.083,0.067,0.072,0.088,0.095,0.087,0.072,0.061,0.044,0.026,0.013,0.01
1997,2,1,2,0.002,0.006,0.006,0.011,0.008,0.012,0.03,0.052,0.073,0.081,0.072,0.055,0.051,0.054,0.065,0.073,0.082,0.094,0.082,0.054,0.026,0.011
1998,2,1,2,0.002,0.002,0.004,0.008,0.007,0.007,0.015,0.026,0.041,0.052,0.056,0.057,0.063,0.085,0.105,0.101,0.101,0.092,0.079,0.055,0.027,0.016
1999,2,1,2,0,0.001,0.005,0.008,0.009,0.016,0.032,0.049,0.055,0.057,0.053,0.048,0.053,0.066,0.08,0.085,0.102,0.107,0.09,0.053,0.021,0.009
2000,2,1,2,0.001,0.001,0.002,0.004,0.008,0.019,0.032,0.041,0.049,0.063,0.057,0.048,0.046,0.053,0.064,0.082,0.102,0.117,0.104,0.061,0.027,0.017
2001,2,1,2,0.001,0.001,0.003,0.002,0.002,0.004,0.016,0.035,0.055,0.07,0.069,0.054,0.049,0.056,0.077,0.09,0.106,0.111,0.097,0.061,0.025,0.016
2002,2,1,2,0,0,0.001,0.002,0.004,0.01,0.017,0.022,0.031,0.037,0.045,0.052,0.063,0.086,0.121,0.132,0.125,0.106,0.077,0.043,0.016,0.011
2003,2,1,2,0.001,0.043,0.022,0.009,0.004,0.006,0.015,0.029,0.044,0.05,0.051,0.05,0.059,0.069,0.088,0.104,0.107,0.102,0.075,0.046,0.018,0.008
2004,2,1,2,0.003,0.004,0.005,0.011,0.023,0.031,0.034,0.05,0.052,0.05,0.05,0.049,0.053,0.061,0.072,0.082,0.082,0.09,0.089,0.06,0.033,0.014
2005,2,1,2,0,0.001,0.001,0.002,0.008,0.012,0.016,0.034,0.05,0.054,0.067,0.077,0.08,0.064,0.067,0.069,0.075,0.084,0.088,0.079,0.043,0.029
2006,2,1,2,0,0,0,0,0.001,0.003,0.007,0.018,0.028,0.031,0.035,0.047,0.061,0.071,0.088,0.119,0.137,0.137,0.099,0.063,0.033,0.021
2007,2,1,2,0,0,0,0.001,0.002,0.005,0.012,0.026,0.036,0.045,0.048,0.064,0.082,0.079,0.095,0.118,0.128,0.105,0.071,0.042,0.021,0.018
2008,2,1,2,0,0.001,0,0.001,0.001,0.002,0.007,0.02,0.03,0.034,0.034,0.039,0.046,0.06,0.091,0.141,0.167,0.144,0.094,0.053,0.022,0.012
2009,2,1,2,0,0.001,0,0.001,0.001,0.002,0.007,0.017,0.024,0.03,0.039,0.051,0.07,0.092,0.114,0.122,0.125,0.11,0.092,0.061,0.028,0.014
2010,2,1,2,0.001,0.003,0.001,0.003,0.006,0.009,0.019,0.032,0.03,0.024,0.029,0.033,0.042,0.06,0.076,0.09,0.1,0.115,0.126,0.108,0.062,0.032
2011,2,1,2,0,0.001,0.001,0.006,0.012,0.007,0.013,0.024,0.028,0.027,0.034,0.038,0.038,0.044,0.06,0.079,0.092,0.12,0.129,0.121,0.075,0.049
2012,2,1,2,0,0.001,0.001,0.002,0.004,0.014,0.04,0.057,0.044,0.033,0.043,0.052,0.05,0.045,0.059,0.079,0.093,0.098,0.106,0.088,0.053,0.037
2013,2,1,2,0.001,0.004,0.002,0.002,0.002,0.004,0.009,0.02,0.024,0.032,0.05,0.064,0.064,0.067,0.092,0.111,0.116,0.106,0.093,0.073,0.041,0.024
2014,2,1,2,0.002,0.003,0.002,0.008,0.013,0.01,0.016,0.024,0.032,0.043,0.046,0.048,0.051,0.062,0.089,0.125,0.128,0.106,0.085,0.06,0.032,0.016
2015,2,1,2,0.002,0.001,0.005,0.016,0.017,0.019,0.045,0.065,0.051,0.051,0.054,0.067,0.059,0.05,0.054,0.058,0.063,0.057,0.063,0.082,0.072,0.051
2016,2,1,2,0.001,0.001,0.003,0.007,0.012,0.021,0.034,0.044,0.043,0.048,0.065,0.073,0.078,0.085,0.089,0.089,0.078,0.064,0.05,0.048,0.038,0.028
2017,2,1,2,0.001,0.001,0.006,0.013,0.026,0.032,0.04,0.043,0.041,0.044,0.046,0.051,0.058,0.083,0.1,0.092,0.084,0.077,0.061,0.048,0.034,0.018
2018,2,1,2,0,0,0.001,0.003,0.016,0.076,0.15,0.166,0.13,0.105,0.089,0.071,0.053,0.039,0.035,0.024,0.016,0.01,0.006,0.005,0.002,0.002
2019,2,1,2,0.003,0.008,0.01,0.014,0.018,0.024,0.044,0.068,0.094,0.115,0.117,0.1,0.093,0.083,0.067,0.055,0.034,0.023,0.014,0.008,0.004,0.004
2020,2,1,2,0,0.001,0.002,0.003,0.004,0.012,0.022,0.035,0.041,0.055,0.067,0.097,0.115,0.132,0.134,0.108,0.077,0.051,0.024,0.011,0.005,0.004
2021,2,1,2,0.001,0.002,0.004,0.004,0.004,0.004,0.009,0.015,0.023,0.031,0.05,0.088,0.141,0.158,0.155,0.126,0.091,0.053,0.024,0.009,0.004,0.004
2022,2,1,2,0.001,0.003,0.005,0.006,0.007,0.012,0.017,0.022,0.025,0.035,0.047,0.064,0.077,0.117,0.156,0.141,0.117,0.082,0.042,0.015,0.004,0.003
2023,2,1,2,0.008,0.012,0.025,0.034,0.054,0.063,0.089,0.098,0.075,0.058,0.047,0.043,0.048,0.057,0.067,0.068,0.061,0.045,0.027,0.013,0.006,0.003
2024,2,1,2,0,0.008,0.019,0.027,0.077,0.076,0.056,0.058,0.043,0.031,0.033,0.044,0.06,0.066,0.079,0.088,0.081,0.061,0.043,0.027,0.012,0.009
2025,2,1,2,0,0,0.002,0.01,0.011,0.016,0.048,0.074,0.082,0.066,0.07,0.072,0.074,0.077,0.081,0.081,0.082,0.058,0.041,0.032,0.012,0.012
