"year","sex","maturity","m27.5","m32.5","m37.5","m42.5","m47.5","m52.5","m57.5","m62.5","m67.5","m72.5","m77.5","m82.5","m87.5","m92.5","m97.5","m102.5","m107.5","m112.5","m117.5","m122.5","m127.5","m132.5"
1994,"male","mature",0,0.00259845674675691,0.0122400875120945,0.0329419145784822,0.043053976658831,0.101242295351267,0.153443982028818,0.142330535830784,0.118211185238601,0.0944723524070051,0.0744046416663674,0.050793890251773,0.0318122426219175,0.0273991258196899,0.0216359556946557,0.0256544043642469,0.0187805502315563,0.0174002755356776,0.0155144144000305,0.00967890793699241,0.00478464467582205,0.0016061604486316
1995,"male","mature",0,0,0.0027857305052545,0.0132320568746736,0.0311888695502009,0.0860779270131901,0.125885593812517,0.160400286858698,0.146150574204032,0.131626193951774,0.0899315698898712,0.0589410266158289,0.0382045966590254,0.0316268100142222,0.0259545672603482,0.02137558193706,0.0133035005779076,0.0101574541254798,0.007491147670051,0.00395148274759941,0.001321751798669,0.000393277933597366
1996,"male","mature",0,3.74817704284667e-05,0.000742138705177766,0.00738095919724172,0.0193292131649927,0.0391861545478725,0.0787836117816616,0.110402830260163,0.123687745079008,0.117211341060966,0.109660239495619,0.0860716801720873,0.0673256315370553,0.0623404388786658,0.0482252597990142,0.0459318330935317,0.0369840721870927,0.0238197864871721,0.0129465074468775,0.00648038123605492,0.00240955938636034,0.00104313471295757
1997,"male","mature",6.24373294201956e-05,0,0.000118537711732936,0.00102559253576901,0.0034794469142732,0.011699335159007,0.0266548436252334,0.055718476524895,0.0738441694231489,0.0994414458954834,0.0963459640151978,0.0902214484267845,0.082406367430629,0.0752652428691893,0.0746380799053175,0.0731369598635937,0.0751745066532398,0.0673350211701443,0.0473449185375891,0.0279008448091368,0.0133080873866777,0.00487827381353754
1998,"male","mature",7.10439122306384e-05,0,0.0012191040060087,0.00478711825744984,0.0109629755244191,0.01610068823414,0.032233328737425,0.0473291242096646,0.0644691210834517,0.0660546951060827,0.0642196534436115,0.0649595354202785,0.0681247667418976,0.0752970186141251,0.0847354758888096,0.0969768651899475,0.0954464311134594,0.0900257725973617,0.0617310785559997,0.0368893457481489,0.0135905729868728,0.00477628462861546
1999,"male","mature",0.000435841183018448,0.00071042384558687,0.00170896275536694,0.00242705415552068,0.00690341584956848,0.0223770711456189,0.0456282341301825,0.0696800995024109,0.0722328907936938,0.0681029143901719,0.0647883519601021,0.0637372143279062,0.0629604502561858,0.0756035798677725,0.0963166964103155,0.0867967614716287,0.0742389984301271,0.0733116804082344,0.0555282180132501,0.0351786440683244,0.0155739325728774,0.00575856446213666
2000,"male","mature",7.58118137345831e-05,0.000348756911923483,0.00454495713078909,0.0196071800548067,0.0377033047924728,0.0738406256670121,0.111442445456015,0.105963600864099,0.0706065498952689,0.0609049492826358,0.0604444445502154,0.0542355068322005,0.0548846093050069,0.0562404905536154,0.0643207435908749,0.0675597418695959,0.0490434246942219,0.0478121896295363,0.0325679369011878,0.019459217039541,0.00540529600417387,0.00298821716107298
2001,"male","mature",0,0,0.00250754575521347,0.00677552528228105,0.00806366798837395,0.0434162807609364,0.0811469350304125,0.132628066391527,0.147536588096389,0.129336569227644,0.0994796830737446,0.0652476067968056,0.0434362064865045,0.0480443173461374,0.0436545780464383,0.0495829376829176,0.0357533298874588,0.0297977194949842,0.0177067053387573,0.00951697121653111,0.00465995792368507,0.00170880817325745
2002,"male","mature",0,0,0.00179728123581339,0.00602060033984331,0.00631348501218794,0.0234830415541302,0.0442560134841238,0.0730622350703621,0.0800921273287203,0.100626291880902,0.0839789083479557,0.0814024262696323,0.0836073579953099,0.0855684365741391,0.0858836486161763,0.0854424178939527,0.0689150938223451,0.0454823073413294,0.0231338727987122,0.0147806287499609,0.00477018240630629,0.00138364327809685
2003,"male","mature",0,0.000118069409816636,0.00280953977073524,0.00708073907187817,0.0319167644335269,0.0394672926972552,0.0567809039968998,0.0719575717778588,0.0887604854116039,0.0888688490823303,0.0817482472602891,0.071946994677581,0.0629737047221837,0.0701992310782763,0.0729409527292674,0.0703902778978848,0.066069720819874,0.0554432084016232,0.0348198417601557,0.0192375996752303,0.00504306156682714,0.00142694375890244
2004,"male","mature",0.000450990140651179,0.000478002601080646,0.0215536270456828,0.0248727677753175,0.0371857232037343,0.085435755209957,0.104036502187148,0.148423643431915,0.103384782518158,0.0586777510827141,0.0545499972542028,0.0473339296846532,0.035669144287672,0.0453162563576272,0.0429591327856289,0.0415524507001933,0.0399116373817187,0.0381288253296919,0.0322589388656189,0.0255859202502398,0.00847817635332555,0.00375604555306959
2005,"male","mature",0.000180721328479733,4.28029779196041e-05,0.00134288307186765,0.0121647101560417,0.0462456011153187,0.0775368793462393,0.0916288095755971,0.157803146348824,0.147202592890631,0.0906998566307516,0.0678798106712751,0.0745273870560167,0.0639260999762059,0.0378888772687934,0.025274363942496,0.023200210374594,0.0190351094542178,0.0210188949381767,0.0182590441156917,0.0126871612236499,0.00836174943535287,0.00309328810185961
2006,"male","mature",0.00136691803473926,0.00273383606947851,0.00165800927740137,0.00857013156576826,0.0172042884510427,0.0334940105427594,0.0617897355810732,0.110926809748476,0.105045488115959,0.0836137409893224,0.070662846329792,0.0802144047390315,0.0655220436846411,0.0510262896929227,0.0493161703711399,0.0642263074824147,0.0735457771489705,0.0630036941242814,0.0313467083327657,0.014008892048871,0.0083460480656039,0.0023778496035453
2007,"male","mature",0,0,0.000709637607333352,0.00357421814841729,0.0217040073889156,0.0649822967353184,0.0872506847663956,0.103286561270339,0.0816675039570279,0.0708235873192469,0.0657925686500568,0.0716481249032788,0.0620066273149262,0.0630768893967409,0.0580952276359393,0.0685398380776267,0.0729035888789001,0.0537313832509152,0.0315294388771438,0.0127661943038263,0.00481126899106231,0.00110035252658946
2008,"male","mature",0,9.18981627475453e-05,0.000716796964968147,0.00291040660481309,0.00745041256973761,0.0253615368948432,0.0659419673267687,0.103143987280645,0.122206091939291,0.117243046344516,0.0829441177124594,0.0637951863826013,0.0596801614550476,0.0573460982843538,0.0578309155924218,0.0686146632403793,0.0612552398941553,0.0534059073083353,0.0266547592532139,0.0148334530913684,0.00583417165973652,0.00273918203759679
2009,"male","mature",0,0,0.0034218815066378,0.00747523480008932,0.0224804444406102,0.0406359228777765,0.0627014257340028,0.0792663118624365,0.0660729984946229,0.0701108450994396,0.0673022173194907,0.0675088625958394,0.0623610909204432,0.0625454664321882,0.0762843281170644,0.0829297113862795,0.0765972933693746,0.0564050174626564,0.0444495723974324,0.0335600484316716,0.0126074127611707,0.0052839139907732
2010,"male","mature",0,0,0.00338082403353924,0.0196466496514647,0.0964923271356709,0.149082319086633,0.110390426491911,0.127895072868035,0.0607032158240909,0.0542555452220381,0.0547701774956808,0.0289113420347279,0.0349543718351335,0.0289378833695542,0.0334362034158123,0.0388233346652555,0.0381054460430669,0.0391430636959228,0.0374210321374996,0.0262734603075127,0.0130091977195691,0.00436810696688222
2011,"male","mature",0,0.00138407854689705,0.00129185926548906,0.00891966823861685,0.0232946924234575,0.0659032469949108,0.130441149608867,0.151651304099955,0.118696772993406,0.0698468048512723,0.0577008358479717,0.0377186610566994,0.0305577884090332,0.0318090424007083,0.0400983633781084,0.0413061705456405,0.0472277094136732,0.0464047347995944,0.0453124040427007,0.0325384024506791,0.0123483287793446,0.00554798185297523
2012,"male","mature",0,6.93291513992744e-05,0.00628107439524419,0.0220712358653591,0.0439479343444213,0.0703032821600153,0.105984869881388,0.12497361192695,0.114904479072797,0.100240772153833,0.0783258269043413,0.0664008989436705,0.042046654944333,0.0264572326694874,0.0355026062341073,0.0397703589533487,0.0344881222914783,0.0323314607761851,0.0263337224979297,0.0171487682429486,0.00909309476789552,0.0033246638228675
