"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_18","male",62,-0.16714373,-0.16687934,0.000264390000000003,0.00709738306716456
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_21","male",62,-0.06023194,-0.06000068,0.000231259999999997,0.00620802907868087
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_22","male",62,-0.08550749,-0.08527696,0.000230530000000007,0.00618843268835233
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_1990_season_2","shared (fishing mortality)",62,0.57471782,0.57488647,0.000168649999999992,0.00452730305335767
"26_gmacs_male_only_eqmdevs","Sel_Trawl_Bycatch_male_base_Logistic_mean","male",62,4.82198781,4.82213745,0.000149639999999174,0.00401699157367762
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_7","male",62,-0.82561558,-0.82546978,0.000145799999999974,0.00391390919169558
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_6","male",62,-0.97318381,-0.97308897,9.48399999999294e-05,0.00254592008052263
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_10","male",62,-0.89235946,-0.8922716,8.78599999999397e-05,0.00235854637573525
"26_gmacs_male_only_eqmdevs","Ret_Pot_Fishery_male_base_Logistic_mean","male",62,4.60043824,4.60051007,7.1830000000439e-05,0.00192823111962457
"26_gmacs_male_only_eqmdevs","M_base_male_mature","male",62,0.29061702,0.29068126,6.42399999999932e-05,0.00172448234893376
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_11","male",62,-0.86629918,-0.86625844,4.07399999999836e-05,0.00109363964656819
"26_gmacs_male_only_eqmdevs","Beta_male","male",62,-0.2536155,-0.25360143,1.40699999999772e-05,0.000377700290309172
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_1","male",62,-0.08264963,-0.08264932,3.10000000003363e-07,8.32175479724973e-06
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_2","male",62,-0.08264949,-0.08264935,1.40000000009577e-07,3.75821184413554e-06
"26_gmacs_male_only_eqmdevs","M_base_male_immature","male",62,-0.99999995,-0.99999994,9.99999993922529e-09,2.68443701502717e-07
