"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_1993_season_2","shared (fishing mortality)",29,0.88394303,0.88546467,0.00152163999999999,0.00640395707546133
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_21","male",29,-0.18815337,-0.18663185,0.00152152,0.00640345204480427
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2001_season_2","shared (fishing mortality)",29,0.51529344,0.51679493,0.00150148999999999,0.00631915401095821
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_1993_season_2","shared (fishing mortality)",29,1.49604518,1.49752701,0.00148182999999991,0.00623641315497116
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2006_season_2","shared (fishing mortality)",29,-0.20749041,-0.20609405,0.00139635999999999,0.0058767050694587
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_20","male",29,-0.29206464,-0.29067301,0.00139162999999998,0.00585679844439168
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_1990_season_2","shared (fishing mortality)",29,0.62187211,0.62324146,0.00136935000000005,0.00576303108572548
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2015_season_2","shared (fishing mortality)",29,1.01707466,1.01843732,0.00136266000000007,0.00573487562659278
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_11","male",29,-1.03290337,-1.03154564,0.00135773000000006,0.00571412728376392
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2004_season_2","shared (fishing mortality)",29,0.19159124,0.19292461,0.00133337,0.00561160606037428
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_15","male",29,-0.62119031,-0.61988197,0.00130834000000002,0.00550626508248288
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2016_season_2","shared (fishing mortality)",29,0.58863683,0.58994136,0.00130452999999997,0.00549023035912005
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2016_season_2","shared (fishing mortality)",29,-0.60870561,-0.60741414,0.00129146999999996,0.00543526618927331
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_1999_season_2","shared (fishing mortality)",29,-0.3088479,-0.3075566,0.0012913,0.00543455072917591
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2001_season_2","shared (fishing mortality)",29,0.19986312,0.2011269,0.00126377999999999,0.00531873036514978
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_13","male",29,-0.93040809,-0.92915099,0.00125710000000001,0.00529061699190515
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2013_season_2","shared (fishing mortality)",29,0.61503719,0.61629085,0.00125365999999993,0.00527613944640156
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2024_season_2","shared (fishing mortality)",29,-0.82183335,-0.82059285,0.00124049999999998,0.00522075441767414
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2000_season_2","shared (fishing mortality)",29,-0.39729118,-0.3960517,0.00123948000000002,0.00521646165708903
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2000_season_2","shared (fishing mortality)",29,0.50158406,0.50274931,0.00116525000000001,0.00490405810979036
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2024_season_2","shared (fishing mortality)",29,0.48446912,0.4856218,0.00115268000000002,0.00485115614846016
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2003_season_2","shared (fishing mortality)",29,0.15963231,0.16078315,0.00115084000000001,0.00484341234505142
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_12","female",29,-0.8714874,-0.87033842,0.00114898000000008,0.00483558436986679
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_22","male",29,-0.05061367,-0.04950105,0.00111262,0.00468256008076801
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_14","male",29,-0.82246281,-0.82135395,0.00110885999999999,0.00466673578684579
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_20","male",29,-0.13083875,-0.12973983,0.00109892,0.00462490241408351
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2014_season_2","shared (fishing mortality)",29,1.04001551,1.04105495,0.00103944,0.00437457555171892
"26_gmacs_eqmdevs","M_base_female_mature","female",29,0.26477696,0.26579662,0.00101965999999998,0.00429132966507505
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2002_season_2","shared (fishing mortality)",29,0.1368923,0.13787012,0.000977820000000018,0.00411524230930296
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2012_season_2","shared (fishing mortality)",29,-0.18670615,-0.18573726,0.00096889,0.00407765961123772
"26_gmacs_eqmdevs","Sel_Trawl_Bycatch_male_base_Logistic_mean","male",29,4.8462632,4.84718996,0.000926759999999582,0.00390035176470906
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_12","male",29,-0.96292569,-0.9620088,0.000916889999999948,0.0038588129931649
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_3","female",29,-0.08098076,-0.08006631,0.000914449999999997,0.00384854403647093
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_female_base_class_13","female",29,-0.83337397,-0.83248729,0.000886680000000029,0.00373167152524268
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2015_season_2","shared (fishing mortality)",29,3.00276854,3.00363984,0.000871300000000019,0.00366694342935886
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2006_season_2","shared (fishing mortality)",29,0.66050668,0.66137193,0.00086525000000004,0.00364148146706396
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2005_season_2","shared (fishing mortality)",29,-0.73418442,-0.73336978,0.000814639999999978,0.00342848478743573
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2005_season_2","shared (fishing mortality)",29,-0.02449475,-0.02370257,0.00079218,0.0033339598827837
"26_gmacs_eqmdevs","Sel_Pot_Fishery_male_base_Logistic_mean","male",29,4.68744077,4.68812557,0.000684800000000152,0.00288204161646442
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2009_season_2","shared (fishing mortality)",29,0.25274808,0.25339962,0.000651540000000006,0.00274206395267352
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2009_season_2","shared (fishing mortality)",29,-0.62557436,-0.62495317,0.000621190000000049,0.00261433328231787
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_21","male",29,-0.11493735,-0.11432451,0.00061283999999999,0.00257919156576173
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_13","female",29,-0.09496551,-0.09438391,0.000581600000000002,0.00244771525136586
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_21","male",29,-0.06650701,-0.06600061,0.000506400000000004,0.00213122937292241
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_16","male",29,-0.37317259,-0.37283794,0.000334650000000047,0.00140840424496165
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_17","male",29,-0.25838458,-0.25805017,0.000334409999999952,0.00140739418364707
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_20","male",29,-0.11017576,-0.10987131,0.000304449999999998,0.00128130486292697
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_18","male",29,-0.18270653,-0.18243279,0.000273739999999995,0.00115205910059985
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_19","male",29,-0.1507133,-0.1504497,0.000263600000000003,0.00110938401007573
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_13","female",29,-0.82442569,-0.8241747,0.000250989999999951,0.00105631370519291
"26_gmacs_eqmdevs","Sel_Pot_Fishery_male_base_Logistic_cv","male",29,1.6956086,1.69583127,0.000222670000000091,0.000937126470120112
"26_gmacs_eqmdevs","Sel_Pot_Fishery_female_base_Logistic_mean","female",29,4.20402945,4.20424824,0.000218789999999913,0.000920797145540099
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_22","male",29,-0.08537815,-0.08517922,0.00019893,0.000837214571791967
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_2","female",29,-0.08286512,-0.08270859,0.000156530000000002,0.000658770406286625
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_8","female",29,-0.08237021,-0.08224555,0.000124659999999999,0.000524642680940962
"26_gmacs_eqmdevs","Beta_female","female",29,-0.42384404,-0.4237362,0.00010783999999997,0.000453854217171974
"26_gmacs_eqmdevs","M_base_male_mature","male",29,0.29282102,0.29289239,7.1370000000015e-05,0.000300366983304707
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_9","female",29,-0.08251987,-0.08246028,5.95899999999983e-05,0.000250789807133574
"26_gmacs_eqmdevs","Beta_male","male",29,-0.25450496,-0.2544508,5.41600000000253e-05,0.000227937169900338
"26_gmacs_eqmdevs","Ret_Pot_Fishery_male_base_Logistic_mean","male",29,4.60091913,4.60097276,5.36300000000267e-05,0.000225706617831527
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_female_base_class_14","female",29,-0.77825149,-0.77820561,4.58800000000537e-05,0.000193090054561204
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_14","female",29,-0.08098453,-0.08095595,2.85800000000003e-05,0.000120281468163749
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_14","female",29,-0.77825437,-0.77822698,2.73899999999605e-05,0.000115273247480767
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_10","female",29,-0.08261845,-0.08259817,2.02799999999975e-05,8.53501810483036e-05
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_11","female",29,-0.08264317,-0.08263383,9.33999999999657e-06,3.93082194768718e-05
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_15","female",29,-0.08250365,-0.08249974,3.90999999999586e-06,1.64555822435185e-05
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_12","female",29,-0.08264415,-0.08264025,3.90000000000112e-06,1.64134963554497e-05
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_female_base_class_15","female",29,-0.71095715,-0.71095486,2.2900000000714e-06,9.63766837311308e-06
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_1","female",29,-0.08264775,-0.08264567,2.08000000000153e-06,8.75386472291042e-06
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_15","female",29,-0.71098772,-0.71098591,1.80999999999099e-06,7.61754574441218e-06
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_16","female",29,-0.08259272,-0.08259151,1.20999999998761e-06,5.09239245894489e-06
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_13","female",29,-0.08264863,-0.08264785,7.80000000005776e-07,3.28269927111331e-06
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_17","female",29,-0.0826114,-0.08261065,7.50000000007689e-07,3.15644160684871e-06
