"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_17","male",31,-0.73643431,-0.7338753,0.00255901000000003,0.140823677497628
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2024_season_2","shared (fishing mortality)",31,-0.97729527,-0.97481994,0.00247533,0.136218722717066
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1993_season_2","shared (fishing mortality)",31,0.89574367,0.89821891,0.00247523999999999,0.136213769969333
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_14","male",31,9.89849019,9.90094047,0.00245027999999969,0.134840207931521
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_18","male",31,6.27525682,6.27769086,0.0024340399999998,0.133946512118474
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_12","male",31,11.27175291,11.27416054,0.00240763000000044,0.13249315581169
"26_gmacs_male_only","Sel_Pot_Fishery_male_base_Logistic_cv","male",31,1.71970025,1.72203486,0.0023346099999999,0.128474826484742
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1995_season_2","shared (fishing mortality)",31,1.6395895,1.64190349,0.00231398999999999,0.127340096948715
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_12","male",31,10.64686317,10.649172,0.00230883000000048,0.127056139412083
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2002_season_2","shared (fishing mortality)",31,0.33776445,0.34005008,0.00228562999999998,0.125779431107693
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_17","male",31,6.79880652,6.80104234,0.00223582000000011,0.123038360390448
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_15","male",31,10.75785335,10.76002201,0.0021686600000006,0.119342509971468
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_18","male",31,-0.6310403,-0.62888938,0.00215091999999995,0.118366268362839
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_16","male",31,7.54245853,7.54452361,0.0020650799999995,0.113642447636675
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_15","male",31,8.57197067,8.57393138,0.00196070999999876,0.107898911182917
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1983_season_2","shared (fishing mortality)",31,-1.81456328,-1.81261797,0.00194530999999998,0.107051441015434
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1994_season_2","shared (fishing mortality)",31,0.29339244,0.29532525,0.00193281000000001,0.10636355938593
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1993_season_2","shared (fishing mortality)",31,1.49278475,1.49471385,0.00192909999999991,0.106159396118287
