crab_year,fishery,size,shell,total
1995,QO95,96,new,1495
1995,QO95,96,old,177
1995,QO95,97,new,1750
1995,QO95,97,old,203
1995,QO95,98,new,2274
1995,QO95,98,old,258
1995,QO95,99,new,2149
1995,QO95,99,old,231
1995,QO95,100,new,2929
1995,QO95,100,old,328
1995,QO95,101,new,2721
1995,QO95,101,old,345
1995,QO95,102,new,3444
1995,QO95,102,old,374
1995,QO95,103,new,3737
1995,QO95,103,old,406
1995,QO95,104,new,3726
1995,QO95,104,old,440
1995,QO95,105,new,4017
1995,QO95,105,old,433
1995,QO95,106,new,3639
1995,QO95,106,old,435
1995,QO95,107,new,3619
1995,QO95,107,old,469
1995,QO95,108,new,4046
1995,QO95,108,old,445
1995,QO95,109,new,3525
1995,QO95,109,old,443
1995,QO95,110,new,3933
1995,QO95,110,old,489
1995,QO95,111,new,3321
1995,QO95,111,old,414
1995,QO95,112,new,3508
1995,QO95,112,old,462
1995,QO95,113,new,3446
1995,QO95,113,old,471
1995,QO95,114,new,2917
1995,QO95,114,old,394
1995,QO95,115,new,3113
1995,QO95,115,old,389
1995,QO95,116,new,2652
1995,QO95,116,old,301
1995,QO95,117,new,2706
1995,QO95,117,old,366
1995,QO95,118,new,2547
1995,QO95,118,old,328
1995,QO95,119,new,2055
1995,QO95,119,old,265
1995,QO95,120,new,2132
1995,QO95,120,old,235
1995,QO95,121,new,1773
1995,QO95,121,old,227
1995,QO95,122,new,1692
1995,QO95,122,old,212
1995,QO95,123,new,1401
1995,QO95,123,old,151
1995,QO95,124,new,1153
1995,QO95,124,old,134
1995,QO95,125,new,1040
1995,QO95,125,old,98
1995,QO95,126,new,784
1995,QO95,126,old,98
1995,QO95,127,new,623
1995,QO95,127,old,78
1995,QO95,128,new,548
1995,QO95,128,old,52
1995,QO95,129,new,414
1995,QO95,129,old,36
1995,QO95,130,new,349
1995,QO95,130,old,27
1995,QO95,131,new,198
1995,QO95,131,old,24
1995,QO95,132,new,214
1995,QO95,132,old,10
1995,QO95,133,new,117
1995,QO95,133,old,9
1995,QO95,134,new,85
1995,QO95,134,old,5
1995,QO95,135,new,79
1995,QO95,135,old,5
1995,QO95,136,new,38
1995,QO95,136,old,6
1995,QO95,137,new,31
1995,QO95,137,old,2
1995,QO95,138,new,20
1995,QO95,139,new,10
1995,QO95,139,old,1
1995,QO95,140,new,7
1995,QO95,140,old,2
1995,QO95,141,new,1
1995,QO95,141,old,1
1995,QO95,142,new,3
1995,QO95,143,new,1
1995,QO95,144,new,1
1995,QO95,146,new,1
1995,QO95,150,new,2
1995,QO95,167,new,1
1996,QO96,58,old,1
1996,QO96,61,new,1
1996,QO96,62,new,1
1996,QO96,62,old,1
1996,QO96,64,new,1
1996,QO96,65,old,1
1996,QO96,66,new,1
1996,QO96,67,new,2
1996,QO96,67,old,2
1996,QO96,68,new,5
1996,QO96,68,old,1
1996,QO96,69,new,2
1996,QO96,69,old,2
1996,QO96,70,new,4
1996,QO96,71,new,5
1996,QO96,72,new,11
1996,QO96,72,old,5
1996,QO96,73,new,8
1996,QO96,73,old,1
1996,QO96,74,new,19
1996,QO96,74,old,2
1996,QO96,75,new,24
1996,QO96,75,old,3
1996,QO96,76,new,25
1996,QO96,76,old,7
1996,QO96,77,new,31
1996,QO96,77,old,6
1996,QO96,78,new,35
1996,QO96,78,old,5
1996,QO96,79,new,68
1996,QO96,79,old,8
1996,QO96,80,new,70
1996,QO96,80,old,19
1996,QO96,81,new,75
1996,QO96,81,old,7
1996,QO96,82,new,138
1996,QO96,82,old,17
1996,QO96,83,new,144
1996,QO96,83,old,14
1996,QO96,84,new,190
1996,QO96,84,old,7
1996,QO96,85,new,263
1996,QO96,85,old,15
1996,QO96,86,new,268
1996,QO96,86,old,20
1996,QO96,87,new,310
1996,QO96,87,old,31
1996,QO96,88,new,358
1996,QO96,88,old,38
1996,QO96,89,new,367
1996,QO96,89,old,59
1996,QO96,90,new,482
1996,QO96,90,old,50
1996,QO96,91,new,509
1996,QO96,91,old,91
1996,QO96,92,new,703
1996,QO96,92,old,96
1996,QO96,93,new,818
1996,QO96,93,old,146
1996,QO96,94,new,1025
1996,QO96,94,old,148
1996,QO96,95,new,1302
1996,QO96,95,old,232
1996,QO96,96,new,1426
1996,QO96,96,old,266
1996,QO96,97,new,1838
1996,QO96,97,old,380
1996,QO96,98,new,2004
1996,QO96,98,old,420
1996,QO96,99,new,2058
1996,QO96,99,old,436
1996,QO96,100,new,2670
1996,QO96,100,old,609
1996,QO96,101,new,2408
1996,QO96,101,old,708
1996,QO96,102,new,3016
1996,QO96,102,old,797
1996,QO96,103,new,3352
1996,QO96,103,old,923
1996,QO96,104,new,3331
1996,QO96,104,old,1058
1996,QO96,105,new,3185
1996,QO96,105,old,1090
1996,QO96,106,new,2934
1996,QO96,106,old,1029
1996,QO96,107,new,3082
1996,QO96,107,old,1152
1996,QO96,108,new,3304
1996,QO96,108,old,1233
1996,QO96,109,new,2611
1996,QO96,109,old,1030
1996,QO96,110,new,3016
1996,QO96,110,old,1234
1996,QO96,111,new,2481
1996,QO96,111,old,1039
1996,QO96,112,new,2641
1996,QO96,112,old,1085
1996,QO96,113,new,2541
1996,QO96,113,old,1060
1996,QO96,114,new,2246
1996,QO96,114,old,882
1996,QO96,115,new,2125
1996,QO96,115,old,930
1996,QO96,116,new,1895
1996,QO96,116,old,775
1996,QO96,117,new,1892
1996,QO96,117,old,725
1996,QO96,118,new,1725
1996,QO96,118,old,685
1996,QO96,119,new,1284
1996,QO96,119,old,503
1996,QO96,120,new,1319
1996,QO96,120,old,519
1996,QO96,121,new,1053
1996,QO96,121,old,385
1996,QO96,122,new,1016
1996,QO96,122,old,324
1996,QO96,123,new,882
1996,QO96,123,old,300
1996,QO96,124,new,736
1996,QO96,124,old,216
1996,QO96,125,new,528
1996,QO96,125,old,184
1996,QO96,126,new,431
1996,QO96,126,old,122
1996,QO96,127,new,353
1996,QO96,127,old,94
1996,QO96,128,new,248
1996,QO96,128,old,86
1996,QO96,129,new,196
1996,QO96,129,old,66
1996,QO96,130,new,187
1996,QO96,130,old,42
1996,QO96,131,new,117
1996,QO96,131,old,25
1996,QO96,132,new,95
1996,QO96,132,old,13
1996,QO96,133,new,54
1996,QO96,133,old,12
1996,QO96,134,new,44
1996,QO96,134,old,14
1996,QO96,135,new,20
1996,QO96,135,old,6
1996,QO96,136,new,13
1996,QO96,136,old,3
1996,QO96,137,new,13
1996,QO96,137,old,4
1996,QO96,138,new,9
1996,QO96,138,old,1
1996,QO96,139,new,6
1996,QO96,140,new,7
1996,QO96,140,old,2
1996,QO96,141,new,1
1996,QO96,143,new,2
1997,QO97,65,old,1
1997,QO97,67,new,1
1997,QO97,69,new,3
1997,QO97,70,new,1
1997,QO97,70,old,1
1997,QO97,71,new,1
1997,QO97,72,new,3
1997,QO97,73,new,3
1997,QO97,74,new,4
1997,QO97,75,new,9
1997,QO97,75,old,4
1997,QO97,76,new,5
1997,QO97,77,new,11
1997,QO97,77,old,2
1997,QO97,78,new,16
1997,QO97,78,old,1
1997,QO97,79,new,13
1997,QO97,79,old,3
1997,QO97,80,new,19
1997,QO97,80,old,2
1997,QO97,81,new,27
1997,QO97,81,old,4
1997,QO97,82,new,36
1997,QO97,82,old,2
1997,QO97,83,new,51
1997,QO97,83,old,6
1997,QO97,84,new,64
1997,QO97,84,old,2
1997,QO97,85,new,93
1997,QO97,85,old,3
1997,QO97,86,new,97
1997,QO97,86,old,4
1997,QO97,87,new,124
1997,QO97,87,old,2
1997,QO97,88,new,181
1997,QO97,88,old,7
1997,QO97,89,new,179
1997,QO97,89,old,3
1997,QO97,90,new,291
1997,QO97,90,old,11
1997,QO97,91,new,328
1997,QO97,91,old,10
1997,QO97,92,new,536
1997,QO97,92,old,10
1997,QO97,93,new,693
1997,QO97,93,old,16
1997,QO97,94,new,894
1997,QO97,94,old,20
1997,QO97,95,new,1313
1997,QO97,95,old,25
1997,QO97,96,new,1594
1997,QO97,96,old,36
1997,QO97,97,new,2399
1997,QO97,97,old,57
1997,QO97,98,new,3276
1997,QO97,98,old,81
1997,QO97,99,new,3336
1997,QO97,99,old,83
1997,QO97,100,new,5138
1997,QO97,100,old,150
1997,QO97,101,new,5332
1997,QO97,101,old,162
1997,QO97,102,new,6842
1997,QO97,102,old,184
1997,QO97,103,new,7187
1997,QO97,103,old,209
1997,QO97,104,new,7017
1997,QO97,104,old,189
1997,QO97,105,new,7405
1997,QO97,105,old,197
1997,QO97,106,new,6280
1997,QO97,106,old,180
1997,QO97,107,new,6726
1997,QO97,107,old,220
1997,QO97,108,new,6816
1997,QO97,108,old,229
1997,QO97,109,new,5291
1997,QO97,109,old,167
1997,QO97,110,new,5890
1997,QO97,110,old,210
1997,QO97,111,new,4735
1997,QO97,111,old,160
1997,QO97,112,new,4802
1997,QO97,112,old,185
1997,QO97,113,new,4183
1997,QO97,113,old,186
1997,QO97,114,new,3565
1997,QO97,114,old,161
1997,QO97,115,new,3430
1997,QO97,115,old,118
1997,QO97,116,new,2639
1997,QO97,116,old,133
1997,QO97,117,new,2602
1997,QO97,117,old,120
1997,QO97,118,new,2355
1997,QO97,118,old,136
1997,QO97,119,new,1744
1997,QO97,119,old,95
1997,QO97,120,new,1556
1997,QO97,120,old,101
1997,QO97,121,new,1265
1997,QO97,121,old,88
1997,QO97,122,new,1083
1997,QO97,122,old,82
1997,QO97,123,new,953
1997,QO97,123,old,76
1997,QO97,124,new,670
1997,QO97,124,old,60
1997,QO97,125,new,572
1997,QO97,125,old,49
1997,QO97,126,new,413
1997,QO97,126,old,44
1997,QO97,127,new,335
1997,QO97,127,old,31
1997,QO97,128,new,255
1997,QO97,128,old,26
1997,QO97,129,new,165
1997,QO97,129,old,25
1997,QO97,130,new,151
1997,QO97,130,old,14
1997,QO97,131,new,83
1997,QO97,131,old,11
1997,QO97,132,new,82
1997,QO97,132,old,9
1997,QO97,133,new,34
1997,QO97,133,old,8
1997,QO97,134,new,26
1997,QO97,134,old,4
1997,QO97,135,new,18
1997,QO97,135,old,5
1997,QO97,136,new,17
1997,QO97,136,old,2
1997,QO97,137,new,8
1997,QO97,137,old,1
1997,QO97,138,new,4
1997,QO97,139,new,6
1997,QO97,139,old,2
1997,QO97,140,new,3
1997,QO97,141,new,1
1997,QO97,141,old,1
1997,QO97,142,new,1
1997,QO97,143,new,1
1998,QO98,60,new,1
1998,QO98,65,new,2
1998,QO98,67,old,1
1998,QO98,68,old,1
1998,QO98,70,new,2
1998,QO98,71,new,3
1998,QO98,72,new,6
1998,QO98,73,new,6
1998,QO98,73,old,1
1998,QO98,74,new,3
1998,QO98,74,old,2
1998,QO98,75,new,7
1998,QO98,75,old,4
1998,QO98,76,new,6
1998,QO98,76,old,4
1998,QO98,77,new,12
1998,QO98,77,old,6
1998,QO98,78,new,11
1998,QO98,78,old,2
1998,QO98,79,new,11
1998,QO98,80,new,15
1998,QO98,80,old,5
1998,QO98,81,new,17
1998,QO98,81,old,3
1998,QO98,82,new,10
1998,QO98,82,old,5
1998,QO98,83,new,25
1998,QO98,83,old,3
1998,QO98,84,new,21
1998,QO98,84,old,9
1998,QO98,85,new,38
1998,QO98,85,old,7
1998,QO98,86,new,45
1998,QO98,86,old,8
1998,QO98,87,new,42
1998,QO98,87,old,16
1998,QO98,88,new,80
1998,QO98,88,old,14
1998,QO98,89,new,70
1998,QO98,89,old,16
1998,QO98,90,new,113
1998,QO98,90,old,25
1998,QO98,91,new,138
1998,QO98,91,old,24
1998,QO98,92,new,205
1998,QO98,92,old,20
1998,QO98,93,new,285
1998,QO98,93,old,22
1998,QO98,94,new,477
1998,QO98,94,old,28
1998,QO98,95,new,697
1998,QO98,95,old,51
1998,QO98,96,new,878
1998,QO98,96,old,49
1998,QO98,97,new,1501
1998,QO98,97,old,93
1998,QO98,98,new,2031
1998,QO98,98,old,95
1998,QO98,99,new,2217
1998,QO98,99,old,100
1998,QO98,100,new,3593
1998,QO98,100,old,166
1998,QO98,101,new,3998
1998,QO98,101,old,136
1998,QO98,102,new,5844
1998,QO98,102,old,177
1998,QO98,103,new,6808
1998,QO98,103,old,223
1998,QO98,104,new,7659
1998,QO98,104,old,229
1998,QO98,105,new,8252
1998,QO98,105,old,241
1998,QO98,106,new,8014
1998,QO98,106,old,216
1998,QO98,107,new,8867
1998,QO98,107,old,224
1998,QO98,108,new,10072
1998,QO98,108,old,226
1998,QO98,109,new,8119
1998,QO98,109,old,196
1998,QO98,110,new,9749
1998,QO98,110,old,177
1998,QO98,111,new,8305
1998,QO98,111,old,166
1998,QO98,112,new,9459
1998,QO98,112,old,192
1998,QO98,113,new,8472
1998,QO98,113,old,147
1998,QO98,114,new,7394
1998,QO98,114,old,120
1998,QO98,115,new,7646
1998,QO98,115,old,133
1998,QO98,116,new,6204
1998,QO98,116,old,99
1998,QO98,117,new,6323
1998,QO98,117,old,108
1998,QO98,118,new,5870
1998,QO98,118,old,115
1998,QO98,119,new,4130
1998,QO98,119,old,62
1998,QO98,120,new,4386
1998,QO98,120,old,57
1998,QO98,121,new,3122
1998,QO98,121,old,43
1998,QO98,122,new,3191
1998,QO98,122,old,40
1998,QO98,123,new,2585
1998,QO98,123,old,46
1998,QO98,124,new,2045
1998,QO98,124,old,21
1998,QO98,125,new,1825
1998,QO98,125,old,21
1998,QO98,126,new,1362
1998,QO98,126,old,15
1998,QO98,127,new,1170
1998,QO98,127,old,17
1998,QO98,128,new,971
1998,QO98,128,old,13
1998,QO98,129,new,562
1998,QO98,129,old,9
1998,QO98,130,new,587
1998,QO98,130,old,4
1998,QO98,131,new,350
1998,QO98,131,old,5
1998,QO98,132,new,319
1998,QO98,132,old,4
1998,QO98,133,new,187
1998,QO98,133,old,1
1998,QO98,134,new,127
1998,QO98,134,old,1
1998,QO98,135,new,105
1998,QO98,135,old,2
1998,QO98,136,new,56
1998,QO98,137,new,40
1998,QO98,138,new,26
1998,QO98,138,old,1
1998,QO98,139,new,14
1998,QO98,140,new,3
1998,QO98,141,new,2
1998,QO98,142,new,1
1998,QO98,143,new,2
1998,QO98,144,new,1
1998,QO98,146,new,1
1998,QO98,149,new,1
1998,QO98,150,new,1
1999,QO99,60,old,1
1999,QO99,62,old,1
1999,QO99,63,new,1
1999,QO99,66,new,1
1999,QO99,67,old,1
1999,QO99,69,new,1
1999,QO99,69,old,1
1999,QO99,70,new,2
1999,QO99,70,old,1
1999,QO99,71,new,2
1999,QO99,71,old,1
1999,QO99,72,new,3
1999,QO99,72,old,1
1999,QO99,73,new,1
1999,QO99,74,new,2
1999,QO99,74,old,1
1999,QO99,75,new,3
1999,QO99,75,old,1
1999,QO99,76,new,2
1999,QO99,76,old,2
1999,QO99,77,new,1
1999,QO99,77,old,1
1999,QO99,78,new,5
1999,QO99,78,old,1
1999,QO99,79,new,9
1999,QO99,79,old,7
1999,QO99,80,new,8
1999,QO99,80,old,5
1999,QO99,81,new,15
1999,QO99,81,old,4
1999,QO99,82,new,16
1999,QO99,82,old,6
1999,QO99,83,new,11
1999,QO99,83,old,4
1999,QO99,84,new,18
1999,QO99,84,old,14
1999,QO99,85,new,30
1999,QO99,85,old,6
1999,QO99,86,new,30
1999,QO99,86,old,9
1999,QO99,87,new,49
1999,QO99,87,old,7
1999,QO99,88,new,64
1999,QO99,88,old,16
1999,QO99,89,new,64
1999,QO99,89,old,11
1999,QO99,90,new,130
1999,QO99,90,old,16
1999,QO99,91,new,139
1999,QO99,91,old,21
1999,QO99,92,new,209
1999,QO99,92,old,23
1999,QO99,93,new,306
1999,QO99,93,old,45
1999,QO99,94,new,444
1999,QO99,94,old,40
1999,QO99,95,new,600
1999,QO99,95,old,61
1999,QO99,96,new,820
1999,QO99,96,old,52
1999,QO99,97,new,1486
1999,QO99,97,old,67
1999,QO99,98,new,1859
1999,QO99,98,old,101
1999,QO99,99,new,1965
1999,QO99,99,old,99
1999,QO99,100,new,3199
1999,QO99,100,old,131
1999,QO99,101,new,3347
1999,QO99,101,old,115
1999,QO99,102,new,4994
1999,QO99,102,old,139
1999,QO99,103,new,5736
1999,QO99,103,old,170
1999,QO99,104,new,6542
1999,QO99,104,old,182
1999,QO99,105,new,6925
1999,QO99,105,old,182
